 [1] " dont want like mike "                                                                                                                                                                                                                                                                                                                
 [2] "mike badly "                                                                                                                                                                                                                                                                                                                          
 [3] "embarrassingly bad "                                                                                                                                                                                                                                                                                                                  
 [4] " broke sixyear relationship six months ago move n y l hes still "                                                                                                                                                                                                                                                                     
 [5] " result jokes fall flat tries impress hes comedian "                                                                                                                                                                                                                                                                                  
 [6] "well unemployed comedian one hollywoods little fish gotten bad hes asked application starbucks "                                                                                                                                                                                                                                      
 [7] "actually starbucks thing gets even worse "                                                                                                                                                                                                                                                                                            
 [8] " worse "                                                                                                                                                                                                                                                                                                                              
 [9] " wont fail like mike however played endearingly jon favreau "                                                                                                                                                                                                                                                                         
[10] "swingers revolves around mikes halfhearted awkward efforts get back social swing things "                                                                                                                                                                                                                                             
[11] " end enthusiastically assisted equally underachieving twentysomething actor friends trent vince vaughn films animated performance gift gab bordering disturbing side motivational speaking guntoting sue patrick van horn rob ron livingston played hamlet now longs work goofy disneyland doesnt succeed lack theme park experience "
[12] "together talk women make eye contact involves avoiding call never appear desperate two days industry standard "                                                                                                                                                                                                                       
[13] " talking talk walk walk strutting like cool swingers aspire always laughable effect "                                                                                                                                                                                                                                                 
[14] " get mike funk friends persistently convince get outside whether quickie night trip seedy vegas casino cutthroat hollywood party beautiful people s swing lounge "                                                                                                                                                                    
[15] "everywhere encourage mike look replacement honey keep vigil progress lack "                                                                                                                                                                                                                                                           
[16] "like dotty doting parents mike never leaves company without recipient confidence cheerleading youre money mike honeys know equipped eccentric dating philosophies analogy flirting bear bunny "                                                                                                                                       
[17] " unwavering support friends like maybe mikes badly "                                                                                                                                                                                                                                                                                  
[18] "favreau also doubled films screenwriter proves gift creating engaging characters witty banter goes beyond todays bon mot "                                                                                                                                                                                                            
[19] " reassuring honesty friendships even hits low points friends commiserate "                                                                                                                                                                                                                                                            
[20] " mike gets gumption look love will join cheerleading section well "                                                                                                                                                                                                                                                                   
[21] "swingers light unassuming fare sweet candy will want bust gut laughing "                                                                                                                                                                                                                                                              
