 [1] " long kiss goodnight r meryl streep tried failed "                                                                                                                        
 [2] "even pamela anderson lee made attempt fell flat wellbared assets "                                                                                                        
 [3] "however geena davis well become first bankable american female action star long kiss goodnight preposterous incredibly fun action thriller directed husband renny harlin "
 [4] "davis plays samantha caine mousy suburban school teacher mother whose memories go back eight years "                                                                      
 [5] " help ethically questionable private detective mitch hennessey samuel l jackson slowly remembersand reclaimsher past charly baltimore toughasnails cia operative "        
 [6] "needless say reappearance samanthacharly comes appearance assortment nogoodniks erase memory "                                                                            
 [7] "shane black netted cool mil script im sure prose truly deserving hefty price tag worth delivers goods "                                                                   
 [8] "like blacks previous work lethal weapon last boy scout script juggles impressive action scenes funny quirky dialogue "                                                    
 [9] " humor especially works well case story preposterous laughs help keep things taking things seriously "                                                                    
[10] " theres argument unbelievable sequences original entertaining hell can resist sight davis tossing daughter hole house nearby treehouse chasing car "                      
[11] " ice skating "                                                                                                                                                            
[12] "jackson davis make good team "                                                                                                                                            
[13] "jackson funny ever ever fact spirited line deliveries especially first appears reminiscent work jules pulp fiction "                                                      
[14] " good one benefit project davis shows much promise action heroine "                                                                                                       
[15] " makes effective succeed streep lee failed doesnt take seriously "                                                                                                        
[16] " obviously joke slyly taking jabs situation "                                                                                                                             
[17] " say doesnt need worksometimes lays toughness bit thick comes much caricature "                                                                                           
[18] " public embrace film turn notion kickass female davis found special niche "                                                                                               
[19] " seems davis harlins first collaboration middling pirate epic cutthroat island just dress rehearsal albeit costly one long kiss wifehusband team hit action stride "      
[20] "anyone simply looking fun escapist entertainment requires littletono thinking will find film morethanwelcome kiss "                                                       
