 [1] "plot human space astronaut accidentally falls upon planet ruled apes "                                                                                                                                                                                   
 [2] " taken prisoner along humans tries best escape simian captors "                                                                                                                                                                                          
 [3] "oh yeah mention apes can talk "                                                                                                                                                                                                                          
 [4] "kewl "                                                                                                                                                                                                                                                   
 [5] "critique despite film looking like tim burton movie lead human character showing signs human find generally entertained throughout film recommend fun summer fare "                                                                                      
 [6] "although thing sets movie apart others definitely incredible ape makeup jobs characterizations "                                                                                                                                                         
 [7] " mean completely convinced every single one apes real "                                                                                                                                                                                                  
 [8] " also give actors inside costumes waking three morning every day get makeup slobbered hours coming costumed exteriors selling us characters screen well "                                                                                                
 [9] " especially enjoyed bonham carters performance believed developed character entire film human ape tim roths bad guy chewed scenery oozed evil every scene took part "                                                                                    
[10] "plotwise liked beginning film whole buildup wahlberg got village escape fight scenes things got deserted area final battle sequence kinda lost bit interest "                                                                                            
[11] " much intrigued interactions characters whole idea human beings animals end battle sequence just seemed bit typical kind film "                                                                                                                          
[12] " also hated kid character just got nerves didnt really care way battle sequence resolved wont ruin cmon guys "                                                                                                                                           
[13] "coulda thought something little plausible "                                                                                                                                                                                                              
[14] " thing held movie back anything else lead character cold demeanor zero chemistry shared either one interspecies love interests "                                                                                                                         
[15] " dude didnt seem give rats ass anyone ultimately didnt really care happened either "                                                                                                                                                                     
[16] "now im sure fault actor script film suffered "                                                                                                                                                                                                           
[17] "visually movie also nice look especially apes definitely expected greater coolness tim burton "                                                                                                                                                          
[18] " surprise ending highlighted original planet apes film back felt little tacked despite interesting didnt really make much sense unless look sequel point view "                                                                                          
[19] " overall loved whole feel planet apes ruled manner treated humans screamed shouted reverted entire evolution chain didnt appreciate films lack human character development kris kristofferson even movie fact lead male female humans just plain boring "
[20] " still recommend film fun summer movie laughs creepiness really cool premise "                                                                                                                                                                           
[21] "ps anyone seen original believe didnt least bring back scene lead human character case mark wahlberg goes nuts world hes suddenly thrust mad house "                                                                                                     
[22] "type thing "                                                                                                                                                                                                                                             
[23] " guy film barely seems put fact hes surrounded apes can speak english "                                                                                                                                                                                  
[24] "wheres joblo coming "                                                                                                                                                                                                                                    
[25] " arrival battlefield earth godzilla instinct mission mars pitch black planet apes sleepy hollow "                                                                                                                                                        
