 [1] "david mamet long favorite screenwriter director "                                                                                                                                                        
 [2] " distinctive often ingenious dialogue laid back style direction nearly movies absolutely irresistible "                                                                                                  
 [3] " tend thickly layered deceptive productions require audience look film less superficial manner plot seems require order discern concealed message sometimes even concealed storyline "                   
 [4] " although real plot new project winslow boy slightly conspicuous endeavors still brilliantly complex consistently riveting motion picture honor sacrifice difference commonly known justice right "      
 [5] "oh rated g "                                                                                                                                                                                             
 [6] "incidentally first time mamet decided adapt someone elses work namely play terrence rattigan set th century "                                                                                            
 [7] " casts nigel hawthorne lead role arthur winslow rich aging man finds year old son ronnie kicked naval academy allegedly stealing shilling postal note "                                                  
 [8] " asks boy "                                                                                                                                                                                              
 [9] " father didnt ronnie answers "                                                                                                                                                                           
[10] "thats enough arthur oldest daughter rebecca pidgeon immediately starts crusade bring sons case court "                                                                                                   
[11] " enlist help sir robert morton notorious attorney help achieve formidably daunting task "                                                                                                                
[12] " seems fairly frivolous matter look winslow case trial century "                                                                                                                                         
[13] " arthur determined keep familys word clean willing go quite far make sure "                                                                                                                              
[14] "soon enough sir robert morton along rest country becomes equally wrapped proceedings "                                                                                                                   
[15] " "                                                                                                                                                                                                       
[16] " david mamet script tighten hone dialogue style still fairly apparent "                                                                                                                                  
[17] " characters still talk trademark staccatto lines still tension present conversations ordinary writer able make tense "                                                                                   
[18] " mamets norm refreshing see mamet deviate world crooks gangsters con men wonderful films "                                                                                                               
[19] "nigel hawthornes performance nearly flawless "                                                                                                                                                           
[20] " delivery dignified yet pompous man seems getting beaten game "                                                                                                                                          
[21] " pity man also like "                                                                                                                                                                                    
[22] "rebecca pidgeon david mamets wife gave fairly awful performance spanish prisoner top game arthurs oldest daughter flailing feminist gives winslow case way making lack success womens suffrage movement "
[23] " winslow boy wonderful movie avoids cliches seemingly inevitable courtroom scene shoots higher wants make real impact rather phony one "                                                                 
[24] " honest feel anything profound courtroom scenes films like time kill "                                                                                                                                   
[25] " wanted didnt movie "                                                                                                                                                                                    
[26] " epitome subtlety powerful without emotional sad without even trying depressing "                                                                                                                        
[27] "david mamet can churn great scripts movie proves ever doubted hell director "                                                                                                                            
[28] " almost national treasure "                                                                                                                                                                              
[29] " films deserve genre "                                                                                                                                                                                   
[30] " eugene novikov "                                                                                                                                                                                        
