 [1] "im quite sure say mars attacks obviously work deranged genius "                                                                                                                                                                                                                                                                                                                                                                                                                                   
 [2] " tim burtons twisted alien invasion comedy really works breathtaking hilarious equal measure "                                                                                                                                                                                                                                                                                                                                                                                                    
 [3] " doesnt work just dull "                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
 [4] "im even sure works often doesnt counts gleefully evil invading force red planet gets business blasting us kingdom come mars attacks "                                                                                                                                                                                                                                                                                                                                                             
 [5] " brilliant "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
 [6] "mars attacks "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 [7] " based rather unsavory series trading cards released topps s takes cues sources summers independence day old alien invasion flicks disaster movies bigbudget special effects extravaganzas "                                                                                                                                                                                                                                                                                                      
 [8] " unlike independence day painfully middleoftheroad appeal hearts minds wallets america mars attacks "                                                                                                                                                                                                                                                                                                                                                                                             
 [9] " fully developed personal sense wonder "                                                                                                                                                                                                                                                                                                                                                                                                                                                          
[10] " big difference independence day celebrated resilience human beings mars attacks "                                                                                                                                                                                                                                                                                                                                                                                                                
[11] "portrays us greedy hapless schmucks "                                                                                                                                                                                                                                                                                                                                                                                                                                                             
[12] " title sequence just splendid incredible swarm flying saucers rises canals red planet storms earthward solar system formation "                                                                                                                                                                                                                                                                                                                                                                   
[13] " spinning metal saucers dead ringers invading forces movies past first appearance big screen combination danny elfmans thundering theremindriven score absolutely jawdropping "                                                                                                                                                                                                                                                                                                                   
[14] " overwhelming swear trouble breathing "                                                                                                                                                                                                                                                                                                                                                                                                                                                           
[15] " movie lays low next minutes "                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
[16] " get glimpse alien leader resplendent purplesequined cape television message broadcast people world naturally way communicate earthlings preempt regularly scheduled programming "                                                                                                                                                                                                                                                                                                                
[17] " mostly first act spent developing characters setting mildly comic situations drawing quirky dishearteningly drab picture america according tim burton "                                                                                                                                                                                                                                                                                                                                          
[18] " good thing compelling personality movie belongs aliens burtons just interested making caricatures human stars "                                                                                                                                                                                                                                                                                                                                                                                  
[19] "anyone comes mars attacks "                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
[20] "expecting see lot one favorite actor bound disappointed exceptions characters dispatched film progresses "                                                                                                                                                                                                                                                                                                                                                                                        
[21] "jack nicholson lot fun president united states fizzles sleazy las vegas hotel developer rod steiger amusing enough take dr strangeloves buck turgidson glenn close brings star power role first lady martin short presidential aide meets martians white houses kennedy room secluded nook unwittingly tries seduce alien dressed bighaired pointybreasted sexpot lisa marie burton flame played vampira ed wood earlier scene made clear aliens studied human sexuality pages old issue playboy "
[22] "sarah jessica parker hosts tv show michael j fox newsman husband "                                                                                                                                                                                                                                                                                                                                                                                                                                
[23] " octogenarian sylvia sidney funny part old woman cackles blew congress "                                                                                                                                                                                                                                                                                                                                                                                                                          
[24] " plays decisive role defeat alien menace "                                                                                                                                                                                                                                                                                                                                                                                                                                                        
[25] "jim brown tom jones films vegasbased heroes director barbet schroeder reversal fortune funny cameo unfortunate french president "                                                                                                                                                                                                                                                                                                                                                                 
[26] "also hand underutilized annette bening pierce brosnan pam grier lukas haas natalie portman latter two also show woody allens everyone says love "                                                                                                                                                                                                                                                                                                                                                 
[27] " real stars course computergenerated martians theyre fantastic "                                                                                                                                                                                                                                                                                                                                                                                                                                  
[28] " bare brains glistening atop grinning skullfaces round eggeyes red pupils darting way animated invaders malevolence incarnate joe dantes gremlins closest equivalent recent memory burtons little monsters inventive "                                                                                                                                                                                                                                                                            
[29] " films raison detre scenes crimes mankind famous monuments world crumble alien assault easter island turned bowling alley nasty little buggers perform hideous medical experiments captured humans "                                                                                                                                                                                                                                                                                              
[30] " sheer level mayhem staggering especially aliens make first attack blasting human beings iridescent skeletons "                                                                                                                                                                                                                                                                                                                                                                                   
[31] "parents urged pay special attention pg rating earned "                                                                                                                                                                                                                                                                                                                                                                                                                                            
[32] " special effects vary charming astonishing deliciously cheesy least couple shots mass destruction seem engineered specifically response independence day although mars attacks "                                                                                                                                                                                                                                                                                                                  
[33] " production long films release "                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
[34] "cinematographer peter suschitzky makes wynn thomass wildly imaginative production design thomas helped define spike lee style actually took time mars attacks "                                                                                                                                                                                                                                                                                                                                   
[35] "regimen shoot crash david cronenberg "                                                                                                                                                                                                                                                                                                                                                                                                                                                            
[36] "cronenbergs movie will almost certainly somber wont released u s early next year mars attacks "                                                                                                                                                                                                                                                                                                                                                                                                   
[37] " surely similarly elegant nightmare "                                                                                                                                                                                                                                                                                                                                                                                                                                                             
[38] " nice movie "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
[39] " studio executive duped giving burton million make "                                                                                                                                                                                                                                                                                                                                                                                                                                              
[40] " setting films final scenes nearly empty holocaustravaged america independence day conveniently avoided burtons invasion epic suggests world weve got may worth saving many people dead "                                                                                                                                                                                                                                                                                                         
[41] " victims invasion naive greedy disastrously selfabsorbed good thing since movies wicked charm dependent ability take invasion partly wishfulfillment fantasy "                                                                                                                                                                                                                                                                                                                                    
[42] " surviving cast members innocents entertainers triumph determining alien invaders ultimate elitists actually susceptible kitschiest strains american pop culture "                                                                                                                                                                                                                                                                                                                                
[43] "ultimately messy masterpiece years funniest comedy weird winking affirmation power people "                                                                                                                                                                                                                                                                                                                                                                                                       
