 [1] "bob happy bastards quickie review "                                                                                                          
 [2] " mummy "                                                                                                                                     
 [3] "brendan frasers stuck past least time something better quote sitcom lines try woo alicia silverstone "                                       
 [4] "fraser lead star mummy second directorial effort action director stephen sommers also brought us decent thrill ride deep rising "            
 [5] " rough adaptation film say rough focuses special effects guy bandages like boris karloff engulfed "                                          
 [6] " cares movie sort swashbuckling quality cant get oh say godzilla armageddon "                                                                
 [7] "fraser plays soldier gets premonition battle soldiers egyptian ground "                                                                      
 [8] "basically little sign mummy buried underneath priest named ihmoetep buried alive taking part murdering king making mistress "                
 [9] " plan wake back wake also making invincible "                                                                                                
[10] " course fraser returns site years later librarian rachel weisz brother john hanna along former buddy deep risings kevin j oconnor americans "
[11] "guess "                                                                                                                                      
[12] "yup ihmoetep arnold vosloo awakens wreaks havoc "                                                                                            
[13] "fire flies sky flesheating beetles crawl well ihmoeteps plan begins unfold "                                                                 
[14] "ok really new story way sommers tells entertaining enough "                                                                                  
[15] " special effects industrial light magic top notch acting fraser weisz isnt half bad either "                                                 
[16] " action pretty intense favorite scene sandstorm shocking scenes just jolt horrorloving folks well "                                          
[17] " phantom menace beater youre looking solid warmup summer movie season wont find better film wraps mummy "                                    
[18] " doesnt give fraser forgiveness blast past encino man nothing will "                                                                         
