 [1] " must tough mob boss "                                                                                                                                      
 [2] "just ask paul vitti robert deniro man finds job mafia head rather stress inducing "                                                                         
 [3] " can believe one cant even begin fathom turmoil must go hes forced choose ice pick baseball bat sledgehammer torture victims "                              
 [4] "suffering reoccurring panic attacks paul decides needs consult professional help "                                                                          
 [5] " better billy crystal "                                                                                                                                     
 [6] " appearing bottomofthebarrel flops fathers day giant crystal finally finds reliable costar promising material "                                             
 [7] "playing vittis private shrink two different stars strike unorthodox interesting relationship carries enjoyable comedy steady wave laughs start finish "     
 [8] "casting robert deniro paul vitti something injoke think "                                                                                                   
 [9] "placed mobsters shoes deniro gets spoof characters played films like godfather part ii casino "                                                             
[10] " obvious hes lot fun "                                                                                                                                      
[11] " man behind camera harold ramis whose credits include ghostbusters writer star best directing effort bill murray vehicle groundhog day "                    
[12] "ramis knack drawing laughs simply knows whats funny manages accentuate strengths nearly actors "                                                            
[13] " character weakens payoff crystals bridetobe lisa kudrow "                                                                                                  
[14] "playing dumbeddown role friends kudrow amusing doesnt fit comedy mold well director may hoped "                                                             
[15] " supporting cast sparkles "                                                                                                                                 
[16] "joe viterelli hilarious jelly vittis pea brained righthand man chazz palminteri show stopper playing fellow mobster whos desperate need definition closure "
[17] " movie manages maintain consistent chuckles throughout putting emphasis really big laughs will audiences grasping sides "                                   
[18] " situation just cute resist "                                                                                                                               
[19] " unfortunate language gets somewhat hand "                                                                                                                  
[20] " hey youre mafia using obscenities probably comes naturally "                                                                                               
[21] " near end seeing billy crystal attempt walk talk like mob boss truly special treat "                                                                        
