 [1] " long time since walt disney delivered us classic along lines little mermaid beauty beast "                                                        
 [2] "sure delightful outings like last years hercules "                                                                                                 
 [3] " nothing entirely groundbreaking "                                                                                                                 
 [4] " release studios newest feature length film remake edgar rice burroughs creation tarzan disney plunged new waters maturity animation techniques "  
 [5] " classic new tarzan represents exactly family film "                                                                                               
 [6] " plot loyal original storyline tarzans parents forced abandon ship caught fire find shelter jungles africa "                                       
 [7] " killed offscreen snarling cheetah sabor leaving baby tarzan alone unharmed crib "                                                                 
 [8] "found kala voiced effective gentleness glenn close kindhearted mother member gorilla pack tarzan taken primate group raised one "                  
 [9] " follow young boy years partakes various adventures loud mouth gorilla friend terk brash funny rosie odonnell clumsy elephant tantor wayne knight "
[10] " course disney film given kind goofy sidekick humorous chum hero "                                                                                 
[11] " tarzan characters fill space rather inconspicuously "                                                                                             
[12] "gags magnified family films kept quite minor "                                                                                                     
[13] " characters amusing without forced "                                                                                                               
[14] " tarzan grows manhood suspected antagonist stumbles picture "                                                                                      
[15] " notorious bad guy big game hunter clayton brian blessed whos accompanying hapless professor nigel hawthorne expedition jungle "                   
[16] " course theres professors daughter jane nicely vocalized cheerful minnie driver will help supply romantic quotient movie "                         
[17] " thing blew socks version tarzan stunning animation "                                                                                              
[18] "directors chris buck kevin lima applied breathtaking d element movement athletic title character fastpaced editing absolutely marvel "             
[19] " tarzan carries jane treetops narrowly escaping pack nasty baboons slips slides like daredevil snow boarder star surfer riding big wave "          
[20] " eyes can barely keep fantastic accomplishment "                                                                                                   
[21] " subject matter also notch two animation average "                                                                                                 
[22] " important questions raised tarzans place world handled exceptionally well screenwriters "                                                         
[23] " shred doubt left ponder afterward surprising plus wasnt expecting find "                                                                          
[24] "suffice say film will adults children thoroughly entertained "                                                                                     
[25] " grownup tarzan voiced tony goldwyn made name big mean jerk ghost "                                                                                
[26] "goldwyn effective playing someone whos aware worlds dangers "                                                                                      
[27] "glenn close also memorable gorilla mother lance henriksen tvs millennium terrific silverback father unsure accept presence human child "           
[28] " movies villain nothing particularly special catching character clayton "                                                                          
[29] " helps brian blessed supplies voice game enthusiasm nothing compared james woods hilarious hades hercules "                                        
[30] " burley guy big gun just wants capture gorillas quite constitute alltogether noticeable screen presence "                                          
[31] "still one great thrillride disney constructed "                                                                                                    
[32] " never expected rice burroughs work transformed successfully live action animation much emotional depth "                                          
[33] "parents along kiddies going find much like tarzan "                                                                                                
