 [1] " premise simple bizarre "                                                                                                                                                                                                    
 [2] " mad scientist trace beaulieu dr clayton forrester launches averagejoe michael j nelson mike nelson space forces subject watch horrendous movies ever made "                                                                 
 [3] " "                                                                                                                                                                                                                           
 [4] " torturous maniacal just plain fun "                                                                                                                                                                                         
 [5] "based cultfavorite cable television series mystery science theater movie isnt torturous maniacal just plain fun foots bill quite nicely "                                                                                    
 [6] "mike nelson dogbone shaped spacecraft spends days young man dream indulging sarcasm horseplay seeing quite movies "                                                                                                          
 [7] " catch movies arent movies chooses retched examples filmmaking chosen specifically dr forrester attempt break mikes will live "                                                                                              
 [8] "dr forrester convinced one many b movies will take ruin man couple wisecracking puppet buddies tom servo voiced kevin murphy crow t robot voiced beaulieu torture becomes somewhat honorary party wrong world cheezy cinema "
 [9] " purpose behind mstk exploit worst films known even us man "                                                                                                                                                                 
[10] " watch silhouettes mike tom crow sit darkened theater poking fun movie going "                                                                                                                                               
[11] " case scifi film island earth "                                                                                                                                                                                              
[12] " basically watch three leads watch get pleasure eavesdropping hilarious commentary "                                                                                                                                         
[13] " plots behind movies ripped apart really quite irrelevant sake might want know ill explain one "                                                                                                                             
[14] " island earth tale two scientists man woman wind aboard spaceship whose crew intends destroy earth "                                                                                                                         
[15] "together two fight survive well save home planet "                                                                                                                                                                           
[16] " make mstk work filmwithinthefilm naturally horrible possible although tvseries introduced us several worse films island earth bad enough flick bring hysterical cruelty "                                                   
[17] "mstk doesnt actually contain complete island earth short minutes step wisely taken "                                                                                                                                         
[18] " funny observations can go long "                                                                                                                                                                                            
[19] "occasional breaks island earth also help film tremendously "                                                                                                                                                                 
[20] "although takes second get back right mode premise left moment better overkilling whole concept post haste "                                                                                                                  
[21] "mstk lovers will likely hail film greatly dont know youre jarring disappointment "                                                                                                                                           
[22] "although thought sharp wit film worth three stars movie seen home video late night brain functioning full capacity anyway large saracastic crowd new years midnight example saw "                                            
[23] "warning although mstk end credits three leads use credits poke fun actually annoying "                                                                                                                                       
[24] " name slandering asinine oneliners extremely unfunny laughing minutes straight put heavy damper overall experience "                                                                                                         
[25] " people will likely stay see smartalecs say almost ruined otherwise good film "                                                                                                                                              
