 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                   
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                          
 [3] " teaser trailers best friends wedding scarsely gave reason hope looked like sort goofy lighthearted comedy might put julia roberts back limelight little id frankly rarely seen trailer place emphasis people falling laughs often "                                                                                                                   
 [4] " surprise delight find best friends wedding success strong bouyant romanticcomedy decidedly unconventionally quirky comic aspects featuring triumphant performance ms roberts "                                                                                                                                                                        
 [5] " heroine best friends wedding julianne potter julia roberts successful new york restaurant critic open film whimsical revelation editor george downes rupert everett years ago made pact dear best friend exlover michael oneal dermot mulroney sports writer hadnt married time reached promised marry "                                              
 [6] " julianne michael single course george inquires michaels age julianne realizes hes mere weeks away th birthday quite distressed receives phone call michael later day "                                                                                                                                                                                
 [7] "however finds even distraught michaels call regards impending marriage heiress kimmy wallace cameron diaz asks julianne fly chicago wedding julianne suddenly realizes loves michael resolves break wedding steal groom means necessary "                                                                                                              
 [8] " setup best friends wedding fairly conventional one many ways films storyline formulaic certain extent film directed p j hogan whose first feature muriels wedding quite offbeat tone traditional uplifting uglyduckling story holds true best friends wedding confidently combines traditional romanticcomedy elements really eccentric sense humour "
 [9] " film innundated sly mischievousness seems clearly influence mr hogan "                                                                                                                                                                                                                                                                                
[10] " example theres heartfelt emotional exchange julianne michael late film trio teenagers inhaling helium sounding every bit like alvin chipmunks harmonizing background "                                                                                                                                                                                
[11] " best friends wedding opens inspired opening credit sequence sets tone film scenes actors spontaneously burst song good comic effect almost argued film nearly much musical woody allens everyone says love id even assert successful one "                                                                                                            
[12] " best friends wedding keeps breaking conventionality characters well "                                                                                                                                                                                                                                                                                 
[13] " typical romanticcomedy kimmy portrayed snooty conniving ice queen audience cheering julianne rescue michael grasps film smarter kimmy sweet sincere innocent julianne even admits one point resolved utterly destroy kimmys life shed actually like "                                                                                                 
[14] " george character almost staple recent film homosexual male friend heroine acts confidant provides guiding voice reason best friends wedding gets playful mischievous charming personality "                                                                                                                                                           
[15] "throughout film formulaisms one often sees romanticcomedy given little twists result film compelling way somewhat unorthodox conclusion "                                                                                                                                                                                                              
[16] " lot smart writing wellpaced screenplay ronald bass given four interesting vivid likeable characters good dialogue genuinely charming touching moments "                                                                                                                                                                                               
[17] " best friends wedding marks strong career rebound julia roberts turns topnotch confident reassured performance julianne "                                                                                                                                                                                                                              
[18] " isnt sort role one usually associates ms roberts julianne characters neurotic fumbling characteristics line meg ryan role ms roberts works wonderfully film demonstrates aptitude comedy remaining compelling empathetic audience entirely sympathetic even deeds done destroy wedding plans best friend less honourable "                            
[19] "even better ms roberts though cameron diaz turns shining performance best friends weddding "                                                                                                                                                                                                                                                           
[20] " smile lights screen effectively conveys kimmys insecurity utter sweetness endearing manner never hits false note film "                                                                                                                                                                                                                               
[21] " even sings wont soon forget charming serenade just dont know "                                                                                                                                                                                                                                                                                        
[22] "rupert everett given juicy role george makes hilarious turn makes character perhaps vivid memorable film "                                                                                                                                                                                                                                             
[23] " george bit devilish rogue entirely affable mr everetts performance delight watch hes clearly fun joy infectuous "                                                                                                                                                                                                                                     
[24] "dermot mulroney adequate thankless role unlike characters film hes given lot genuine onscreen chemistry ms roberts mr mulroney consequently longstanding friendship michael character julianne character always seemed completely authentic "                                                                                                          
[25] " julia roberts lustre began fade usurped title americas sweetheart sandra bullock thought canny career move part take supporting roles prestige projects like michael collins everyone says love raise profile "                                                                                                                                       
[26] " didnt quite work nearcertain successful return genre made big star back romanticcomedy will raise ante hollywood game "                                                                                                                                                                                                                               
[27] " best friends wedding marks return form ms roberts cements p j hogans reputation skilled director comedy "                                                                                                                                                                                                                                             
