 [1] "ingredients neophyte lawyer legal situations corrupt insurance company "                                                                                                                               
 [2] "synopsis rudy baylor matt damon ethical kid fresh law school must juggle three legal situations time "                                                                                                 
 [3] "rudys girlfriend attacked violent husband rudys elderly landlady wants arrange will children excluded family rudys friend leukemia suing corrupt insurance company wouldnt pay bone marrow transplant "
 [4] "rudy new lawyer thoroughly outgunned luckily aided sleazy ambulance chaser danny devito failed bar exam six times well kindly presiding judge danny glover "                                           
 [5] "jon voight plays leo f drummond intimidating arrogant leader allpowerful insurance companys team lawyers will anything oppose justice "                                                                
 [6] "will rudy defeat leo "                                                                                                                                                                                 
 [7] "will enjoy lawyer "                                                                                                                                                                                    
 [8] "opinion good news movie happy ending features guy trying right thing "                                                                                                                                 
 [9] "director francis ford coppola film little differently stereotypical law movie "                                                                                                                        
[10] " typical lawyer movie theres one big case movie focuses solving somewhere along line surprise witnesses motives turn good guy wins lots gripping courtroom drama "                                     
[11] "however coppolas movie deliberately low key "                                                                                                                                                          
[12] " rainmaker plays like personality sketch young rudy gets emotionally involved tries save various little quirky side characters "                                                                       
[13] " background rudys voice narrates feelings makes halfcynical jokes legal profession general "                                                                                                           
[14] "two factors combine make movie less heavy can "                                                                                                                                                        
[15] "first rudys time split juggling three cases rather concentrating single highstakes case "                                                                                                              
[16] "also rudys use voice narration place acting makes film lose dramatic edge "                                                                                                                            
[17] " end result entertaining low key law movie good guys win rudy narrates way coming age "                                                                                                                
