 [1] "naturally core leon gasts kings fight fight "                                                                                                                                                                       
 [2] "thanks business savvy don king ageing muhammad ali pitted formidable hulk heavyweight champion george foreman "                                                                                                     
 [3] "fans treated round battle endurance strategy much brute strength immediately entered boxing lore "                                                                                                                  
 [4] " benefit firsthand recollections old expug norman mailer classic conflict brought back life "                                                                                                                       
 [5] " kings tackles issues harder pin simple facts boxing match "                                                                                                                                                        
 [6] "questions political power social justice appear throughout documentary "                                                                                                                                            
 [7] "gast hardly choose otherwise considering vocal uncompromising politics muhammad ali "                                                                                                                               
 [8] " member controversial black separatist movement nation islam ali opens gasts film forceful swipe united states "                                                                                                    
 [9] " ali hollers damn america audience knows imprecation heartfelt brutal yet casual way uttered leaves doubt ali speaking mind "                                                                                       
[10] " decision buck draft vietnam defended admirable fury viet cong ever called nigger ali reasons "                                                                                                                     
[11] "despite showcasing alis proud unequivocal politics one impressive features kings subtle way documentary considers difficulties inherent overarching philosophy black unity black symbolism ali supporters champion "
[12] "listening films numerous commentators clear geographic location rumble jungle etched imagination anywhere place map "                                                                                               
[13] "spike lee tells us event pilgrimage coming home africa "                                                                                                                                                            
[14] "foreman reminds us africa cradle civilisation "                                                                                                                                                                     
[15] "fair enough homeland specific nation cursed less inspiring reality "                                                                                                                                                
[16] " newly founded zaire ruled president mobutu brutal dictator "                                                                                                                                                       
[17] " ali respects mobutus ability forge independent african state mailer notes beneath stadium titans battled lay hidden presidents wellstocked torture chambers "                                                      
[18] "mailers insights lost films commentators "                                                                                                                                                                          
[19] "george plimpton recalls always felt congo rather newly christened zaire "                                                                                                                                           
[20] " admirable restraint gast quietly suggests many grandeur myth history obscured reality zaire s squalid ruling elite "                                                                                               
[21] "mobutu dubious character benefit heady symbolism black power "                                                                                                                                                      
[22] "don king resplendent yellow kaftan ease messiah label attributed loyal disciple passes voice new black international solidarity "                                                                                   
[23] "understandably foreman believes gotten raw deal "                                                                                                                                                                   
[24] " may one sympathiser notes blacker ali denied iconic status shared ali thuggish mobutu tacky huckster don king "                                                                                                    
[25] "africa zaire inspirational leader vicious dictator left undifferentiated unconsidered optimistic celebration black unity "                                                                                          
[26] "little wonder people zaire shocked find alis opponent wasnt white "                                                                                                                                                 
[27] "admittedly issues hinted rather substantially explored "                                                                                                                                                            
[28] " audience must consider significance issues time "                                                                                                                                                                  
[29] " just much cover much truly worthy celebration protracted political analysis justified "                                                                                                                            
[30] " excitement james brown b b king concert instance "                                                                                                                                                                 
[31] " course theres always ali consider shamelessly hilariously hams front camera shadow boxing uttering one inspired rhyme another gonna get coz dont get along "                                                       
[32] "doubtlessly considering multifaceted nature extravaganza chose cover makers kings faced numerous difficulties deciding issues personalities best deserved attention "                                               
[33] "fortunately refusing simplify complex subject matter captured richness excitement unique event "                                                                                                                    
