 [1] "ingredients downonhisluck evangelist church "                                                                                                                                                  
 [2] "synopsis sonny dewey robert duvall tireless texas pentecostal preacher unexpectedly catches wife farrah fawcett bed another guy "                                                              
 [3] " regrettable crime passion takes baseball bat guys head suddenly finds fugitive murder estranged wife two kids "                                                                               
 [4] " atone sins sonny flees rural bayou town louisiana baptizes new creature apostle e f apostle e f sonnys main mission revive abandoned church community preach gospel local radio station "     
 [5] "soon sets resurrecting one way road heaven holiness temple "                                                                                                                                   
 [6] " sonny knows time short one day police will find "                                                                                                                                             
 [7] "opinion movie thoughtprovoking look evangelist real life terms "                                                                                                                               
 [8] " believe robert duvall producer director writer main star apostle deserves oscar performance sonny religious crusader performance complex realistic ranks one finest acting performances film "
 [9] "duvalls portrayal true believer authentic superb inspired offers audience completely honest look southern religion well portrait fallible complicated man driven beliefs "                     
[10] "incidentally real life duvall just driven getting project underway "                                                                                                                           
[11] "since major hollywood studio wanted risk financing complex movie evangelist apostle project lay dormant almost years duvall able get done paying production money five million dollars "       
[12] " terms hardhitting realism character portrayal apostle rank one best movies decade emphatically recommend apostle connoisseurs stage fine acting film "                                        
[13] "similarly steep background pentecostal christianity find apostle thoughtprovoking experience "                                                                                                 
[14] " hand apostles main strength duvalls preaching also limits apostles target audience "                                                                                                          
[15] " terms plot pure entertainment value apostle definitely everyone "                                                                                                                             
[16] "teenagers action fans comedy fans people find church completely boring stay far away movie since three quarters film watching sonny preach church "                                            
[17] " words apostle four star performance limited audience "                                                                                                                                        
