 [1] "books indeed written star wars trilogy rightfully "                                                                                                                                                                                                                     
 [2] " set movies shattered expectations science fiction late searly s inspiring literally dozens clones battlestar galactica way stargate independance day one argue revitalizing whole science fiction genre "                                                              
 [3] " special effects groundbreaking revolutionary day still eminently watchable well twenty years later "                                                                                                                                                                   
 [4] "literally millions people seen star wars trilogy touched "                                                                                                                                                                                                              
 [5] " now george lucas brings back new audience enjoy "                                                                                                                                                                                                                      
 [6] "much still made fact mr lucas gone back revised trilogy rerelease now "                                                                                                                                                                                                 
 [7] " fans angry dared meddle consider perfection others thrilled idea seeing yesterdays star wars updated todays special effects wizardry "                                                                                                                                 
 [8] "either way special edition release means star wars back big screen rightfully deserves seen "                                                                                                                                                                           
 [9] "can anyone world doesnt know star wars "                                                                                                                                                                                                                                
[10] " way star wars much part cultural heritage feels silly almost artificial try summarize "                                                                                                                                                                                
[11] " story young mans coming age fight freedom oppressive empire tale swashbuckling derringdo likes havent seen silver screen decades strange new worlds strange alien creatures weird surprises around every turn yearning within us realize dreams make difference world "
[12] " high adventure incredible special effects well just experience "                                                                                                                                                                                                       
[13] "something movie sparked imagination generation "                                                                                                                                                                                                                        
[14] " "                                                                                                                                                                                                                                                                      
[15] " new release star wars comes surprise many films devoted fans trading rumors bits information quite time now "                                                                                                                                                          
[16] "interviews trailers leaks within lucasfilm collected collated placed webpages people see pages http www islandnet comcoronafilmsdetailssw html "                                                                                                                        
[17] " personal favorite http leopard cs latrobe edu aukoukoula "                                                                                                                                                                                                             
[18] " "                                                                                                                                                                                                                                                                      
[19] "pictures placed side side even "                                                                                                                                                                                                                                        
[20] "months movies released fans making comparisons "                                                                                                                                                                                                                        
[21] " cases changes nothing less phenomenal can seen comparison shots even go movie theater "                                                                                                                                                                                
[22] " digital matte effects little toy forrest gump put excellent use unnoticeably sprucing scenes george lucas unsatisfied original "                                                                                                                                       
[23] " instance personal favorite example ancient temple yavin formerly flat stone edifice now deep mosscovered carvings etchings "                                                                                                                                           
[24] " mos eisley spaceport now bustling booming city surprises things going background can notice first viewing "                                                                                                                                                            
[25] " starships fighters now computeranimated getting rid glitches artifacts special effects processes used film originally madeand look fantastic "                                                                                                                         
[26] "four half minutes new missing footage added including scene jabba hutt originally shelved state special effects simply couldnt justice "                                                                                                                                
[27] "however much ten million dollars spent star wars special edition restoration went restoring quality film "                                                                                                                                                              
[28] " negatives badly damaged ravages time brightened returned original splendor "                                                                                                                                                                                           
[29] " audio tracks remixed reprocessed reworked sound effects effects maven ben burtt glorious booming theatershaking fullthx dolby digital stereo "                                                                                                                         
[30] " added scenes new special effects real value new version lies "                                                                                                                                                                                                         
[31] " really true say commercials star wars loses much small screen "                                                                                                                                                                                                        
[32] "even letterboxing doesnt make decrease size definition "                                                                                                                                                                                                                
[33] " regard star wars special edition two films trilogy yet released ill make final recommendation go see "                                                                                                                                                                 
[34] "go see "                                                                                                                                                                                                                                                                
[35] "may another twenty years comes back big screen gone time "                                                                                                                                                                                                              
[36] "take along youngsters whove never bigscreen star wars experienceyoull enjoy seeing eyes much will enjoy first time "                                                                                                                                                    
[37] "theres magic moviespecial edition can denying still star wars still power thrill enthrall children ages four four hundred "                                                                                                                                             
[38] "lets return time long ago galaxy far far away "                                                                                                                                                                                                                         
