 [1] "gordon fleming peter mullan bind "                                                                                                                                                                          
 [2] " new unexpected baby business hazardous material removal danger going "                                                                                                                                     
 [3] " crew get job opportunity longabandoned danvers state hospital underbids competition secure contract promises get threeweek job done one "                                                                  
 [4] " will prove fateful week session "                                                                                                                                                                          
 [5] "gordo gets job remove asbestos hazardous materials spooky old mental hospital preparation relocating town offices "                                                                                         
 [6] " guided tour facility local official bill giggs paul guilfoyle brings creepier parts former asylum "                                                                                                        
 [7] " job job finish week promised bonus store "                                                                                                                                                                 
 [8] " get work things normal normal begin happen "                                                                                                                                                               
 [9] "gordon hears disembodied voice beckoning "                                                                                                                                                                  
[10] "phil david caruso conflicted working guy hank josh lucas seeing old girlfriend "                                                                                                                            
[11] "mike coscreenwriter steven gevedon discovered cache audiotapes transcripts old psychiatric sessions hence title inmate mary hobbs multipersonality patient dark secret "                                    
[12] "gordos nephew jeff brendan sexton iii suffers night phobia afraid venture dark bowels hospital "                                                                                                            
[13] " agreed upon week draws end hank mysteriously disappears workplace nocturnal confrontation someone something hospital "                                                                                     
[14] "tensions mount distrust build among rest watch chance bonus start slip away "                                                                                                                               
[15] " much stake hospital history insanity weigh "                                                                                                                                                               
[16] " dont want give away much story session ill stop "                                                                                                                                                          
[17] " spooky horror flick uses none jumpoutatyoufromthedark cheap shots become part parcel horror films since advent halloween friday thirteenth "                                                               
[18] " cat leaping dark shock suddenly seeing oneself strategically placed mirror "                                                                                                                               
[19] " exception one shadowy chilling image one point spooky interlude film little can get arms around far specifically frightening "                                                                             
[20] " watched session became aware subtle things built story make true horror movie "                                                                                                                            
[21] " striking highdefinition video camera work uta briesewitz worked director brad anderson next stop wonderland helps build tension closeups fluid camera movement odd angles way make alfred hitchcock proud "
[22] "music used intense effect joining camera make simple scenes frightening even horrifying "                                                                                                                   
[23] "couple tech feats intelligent story uses elements shining blair witch project even texas chainsaw massacre get decent intriguing horror flick "                                                             
[24] "additionally brilliant decision shoot danvers state hospital gives film another starring character institution lends even chills equation "                                                                 
[25] "acting another factor raises session usual dreck presented recent horror hits like scream know last summer sequels "                                                                                        
[26] " films took goodlooking though generic young actors actresses put use build body count substituting mayhem real horror "                                                                                    
[27] "anderson opted instead use mature experienced actors like peter mullan david caruso fill characters shoes difference casting quality notable "                                                              
[28] "mullan particular puts arc character gordon troubled guy slowly inexorably falls pressures family job finally danvers state hospital "                                                                      
[29] " rest small cast fit bill people just fodder mayhem "                                                                                                                                                       
[30] "david caruso gordos senior man near equal business shows just good actor "                                                                                                                                  
[31] " made jump tvs nypd blue film far soon decisions roles took ill never forget horrendous jade less star making "                                                                                             
[32] " rolls sleeves job well "                                                                                                                                                                                   
[33] "gevedon lucas sexton fodder "                                                                                                                                                                               
[34] " problem session lay uninspired ending "                                                                                                                                                                    
[35] " takes fairly conventional finale covers old ground bit disappointment terrific inspired build "                                                                                                            
[36] " pleasure getting wish anderson gevedon kept steam ably built bulk film "                                                                                                                                   
[37] " session unusual feat "                                                                                                                                                                                     
[38] " scary doesnt use cheap tricks raises goose bumps intelligently rendered subtle horror "                                                                                                                    
[39] " local interest danvers well northeast crowd "                                                                                                                                                              
[40] " hope gets national distribution deserves "                                                                                                                                                                 
[41] " give b "                                                                                                                                                                                                   
