 [1] " theres one thing common hollywoods major studios productions moving toward mainstream "                                                                                                                                                      
 [2] "although twentieth century fox new line cinema spawned subsidiaries specialize independant controversial motion pictures fox searchlight fine line respectively obvious theres significant movement underway promote inventive ideas theater "
 [3] " movie like gary ross pleasantville comes along wrapped blanket innovative ideas served platter fine production welcome change pace frequent cineplexes "                                                                                     
 [4] "although atmosphere buzz movie cheery lighthearted pleasantville mistaken nothought movie "                                                                                                                                                   
 [5] "quite opposite true fact director ross skillfully brings narrative intense intelligent undertones screen "                                                                                                                                    
 [6] " story joys living life fullest well social ills segregation captures essence statementmaking cinema "                                                                                                                                        
 [7] " recent memory movie carried weight theme widescale distribution even mass audiences fail see ingenuity ross work still testament picture considered worthy enough "                                                                          
 [8] "kudos production staff putting together fine picture "                                                                                                                                                                                        
 [9] " stars tobey maguire reese witherspoon two nineties teenagers quite bit luck find zapped fifties sitcom named pleasantville "                                                                                                                 
[10] "maguire reserved bud parker perfect pseudoworld rebellious mary sue witherspoon made fatherknowsbest times "                                                                                                                                  
[11] " long sets town pleasantville end begins teach townspeople quite unlikely way life really like "                                                                                                                                              
[12] "soon hues color creep black white world embrace change passion realism others fear strangeness "                                                                                                                                              
[13] " one end soda shop ownerturnedpainter named mr johnson jeff daniels end closeminded mayor j t "                                                                                                                                               
[14] "walsh chamber commerce two sides simply fronts clash ideas soon involves entire town "                                                                                                                                                        
[15] "fine performances turned around "                                                                                                                                                                                                             
[16] "maguire witherspoon effective leads true complements go jeff daniels j t "                                                                                                                                                                    
[17] "walsh latest final posthumous performance "                                                                                                                                                                                                   
[18] "daniels brings atmosphere awe inspiration hope character whereas walsh simply drips sinister closemindedness almost point can sense gene hackmans envy "                                                                                      
[19] " daniels commendable performance last three years walsh complementary exclamation point fine career "                                                                                                                                         
[20] "also lesser note supporting role joan allen viewing entire cast works well together start finish "                                                                                                                                            
[21] "theres much dislike pleasantville dynamic nature makes perfect movie want serious well dont "                                                                                                                                                 
