 [1] "call touched demon "                                                                                                                                                  
 [2] "gregory hoblits fallen serial killer movie unusual horrific twist "                                                                                                   
 [3] " marketed properly film crossover appeal appreciate supernatural tales like prophesy crave grim dark thrillers like silence lambs seven "                             
 [4] " fact theres even little twin peaks found albeit lions share weirdness distilled "                                                                                    
 [5] " remember bob "                                                                                                                                                       
 [6] " biggest failing fallen although consistently interesting always edgy suspenseful one might hope "                                                                    
 [7] " serial killer elias koteas loose philadephia detective john hobbes denzel washington noblest man police force brought justice "                                      
 [8] "now last hours death row awaiting inevitable date gas chamber mass murderer cryptically tells hobbes goes around really goes around "                                 
 [9] "shortly thereafter begins sing time side hes taken last walk "                                                                                                        
[10] "minutes later state pennsylvania carried execution edgar reese dead "                                                                                                 
[11] " hobbes nightmare just beginning reese wasnt normal psychopath host body mythical dark angel named azazel "                                                           
[12] " reeses death azazel free hop body body murdering wreaking havoc will "                                                                                               
[13] " hobbes pretty female theology teacher embeth davidtz inkling theyre "                                                                                                
[14] " rest cops including hobbes partner jonesy john goodman lou james gandolfini newcomer department lieutenant stanton donald sutherland dont clue result mortal danger "
[15] " depicted hoblit primal fear cinematographer newton thomas sigel philadelphia dark dreary place gothic city rather modern one "                                       
[16] " skyscrapers monoliths current architecture technology shown "                                                                                                        
[17] " famous landmark appear isnt liberty bell independence hall genos steaks "                                                                                            
[18] "shadows night scenes abound "                                                                                                                                         
[19] " days cloudy unpromising "                                                                                                                                            
[20] " kind setting easy believe fallen angels walk among men "                                                                                                             
[21] "fallens plot brimming potential realized "                                                                                                                            
[22] "somehow expected frightening tale emerge something kind premise "                                                                                                     
[23] " level terror like gore kept check "                                                                                                                                  
[24] "nevertheless several creepily effective scenes spirit azazel moves body body people bump crowded city sidewalks "                                                     
[25] " film also boasts chase sequence kind can best described unusual "                                                                                                    
[26] " several dozen actors play azazel best far elias koteas exotica crash despite screen ten minutes gives fantastically charged performance "                            
[27] "john goodman also seems enjoying although role film relegated burly sidekick "                                                                                        
[28] "sadly however two ones excel "                                                                                                                                        
[29] "everyone else including denzel washington boring "                                                                                                                    
[30] "washingtons flat performance disappointing surprise film "                                                                                                            
[31] " hes bad per se hes interesting "                                                                                                                                     
[32] "theres real sense vulnerability desperation way portrays character keeps us distanced however slightly hobbes "                                                       
[33] " circumstances become progressively dire cop lifeordeath chess game azazel approaches point checkmate expected edge seat "                                            
[34] "washingtons subdued approach part reason never felt sense urgency "                                                                                                   
[35] "however least washington believable can said embeth davidtz schindlers list donald sutherland "                                                                       
[36] " fair flaws characters arent actingrelated neither stanton gretta milano wellwritten "                                                                                
[37] " said however theres nothing inspired either davidtzs sutherlands work "                                                                                              
[38] " appear sleepwalking way parts know contribution film one advancing plot rather developing multidimensional individual "                                              
[39] "narratively fallen glaring weaknesses "                                                                                                                               
[40] "although plot proceeds convoluted gamelike structure uses denzel washingtonsupplied voiceover overexplain matters "                                                   
[41] " times actually helpful use beyond obvious occasions ponderous lines like like night sometimes come face face become little hard swallow "                            
[42] " addition fallen saddled kind disgustingly bland generic theology embraced numerous movies tv shows like touched angel "                                              
[43] "however despite negatives im still recommending fallen strength complex plot especially ending loved "                                                                
[44] " final scenes startling audacious unexpected "                                                                                                                        
[45] " often plot development takes surprise way one "                                                                                                                      
[46] " time movies fall apart last ten minutes fallen manages buck trend redeem "                                                                                           
[47] " great motion picture considering bad january releases reasonably entertaining way spend two hours "                                                                  
[48] " whatever dont walk film end credits begun roll "                                                                                                                     
