 [1] "ralph fiennes carving nice niche genre period piece romances "                                                                                                               
 [2] " followup academybeloved english patient turned love story time directed accomplished australian film maker gillian armstrong little women "                                 
 [3] "despite obvious overplotting oscar lucinda mostly effective often affecting motion picture touches hearts daring minds balk implausible coincidences "                       
 [4] " film opens mids parallel storylines new south wales australia devon england "                                                                                               
 [5] " helpful narrative voice geoffrey rush informs us lucinda leplastrier cate blanchett headstrong young woman raised australian outback "                                      
 [6] "meanwhile half world away oscar hopkins fiennes broken puritanical father religious issues gone away school study anglican priest "                                          
 [7] "lucinda fascinated glass oscar obsessed theology "                                                                                                                           
 [8] "lucinda rich oscar poor "                                                                                                                                                    
 [9] "lucinda forward selfassured oscar timid uncertain "                                                                                                                          
[10] "yet one characteristic unites two diverse individuals compulsion gamble whether horses dogs cards flip coin "                                                                
[11] " fate decreed will one day meet "                                                                                                                                            
[12] " day doesnt occur minutes film oscar boards ship bound sidney australia hopes change life minister anyone need help "                                                        
[13] "another passengers lucinda returning england shopping machinery equip newlyacquired glassworks factory "                                                                     
[14] " first relationship reverend confessor doesnt take long recognize kindred spirit "                                                                                           
[15] " friendship born reach australia develops something potent "                                                                                                                 
[16] " oscar uncertain lucindas affection feels must something prove worthy "                                                                                                      
[17] "oscar lucinda isnt beyond little manipulation get desired emotional response times storyline curves preposterous directions "                                                
[18] " one occasion apparent events occurring specifically funnel characters position one possible route "                                                                         
[19] "coincidence crucial plot device without movie cant go anywhere "                                                                                                             
[20] " voiceover narration never one favorite techniques verbose breaks story undesirable moments "                                                                                
[21] " however without final twist will reveal poignant "                                                                                                                          
[22] "yet despite quibbles enjoyed oscar lucinda "                                                                                                                                 
[23] "storyline faults pale light two finelyrealized characters "                                                                                                                  
[24] "thematically film also strong "                                                                                                                                              
[25] " unifying motif everything life gamble successfully delineated "                                                                                                             
[26] "oscar lucinda dont just wager money bet hearts minds souls "                                                                                                                 
[27] " card game engage shortly first meet easily considered form emotional strip poker defenses peeled away reveal shared secret passion "                                        
[28] "oscar see gambling vice "                                                                                                                                                    
[29] " fact believes greatest chance one takes life betting ones immortal soul truth religious faith "                                                                             
[30] "ralph fiennes normally plays strong confident men much home fumbling insecure oscar "                                                                                        
[31] " actor brings variety nervous tics part subtly add vague sense discomfort whenever oscar onscreen "                                                                          
[32] " good fiennes however eclipsed cate blanchett "                                                                                                                              
[33] " actress appeared earlier year one leads bruce beresfords paradise road mesmerizing lucinda "                                                                                
[34] " gives liberated woman flash feeds chemistry two lead characters sparkles rather fizzles "                                                                                   
[35] "effective support provided ciaran hinds male lead jane austens persuasion lucindas close friend tom wilkinson full monty oscars mentor clive russell selfserving adventurer "
[36] "theres real magic way armstrong develops story keeping things moving unexpected directions without lingering long one moment sequence "                                      
[37] " fact wish devoted little time luminous middle act oscar lucinda together "                                                                                                  
[38] " skill consummate storyteller weaves romance friendship passion humor tragedy together complete package "                                                                    
[39] " characters human foibles neuroses wonderfully developed fiennes blanchett "                                                                                                 
[40] " cares storyline little ripe unwieldy "                                                                                                                                      
[41] "oscar lucinda still offers abundant pleasures reward viewer "                                                                                                                
