 [1] "warning contains matrix "                                                                      
 [2] "rated r scifi violence "                                                                       
 [3] "starring keanu reeves laurence fishburne joe panteliano "                                      
 [4] " may disappointed matrix "                                                                     
 [5] "ill tell "                                                                                     
 [6] " sat sat sat waiting something happen "                                                        
 [7] "now wait wait know loved im saying didnt like "                                                
 [8] " im saying first half extremely slow "                                                         
 [9] "now seeing trailer makes think whole entire movie one big special effects show "               
[10] "dont fooled movie big story "                                                                  
[11] " big chunks talky moments "                                                                    
[12] " will admit special effects acting par deserving rating "                                      
[13] "ok now story "                                                                                 
[14] "well may take "                                                                                
[15] "ok first world live now real world actually live inside computer generated world known matrix "
[16] " man played keanu reeves find kidnapped almost coaxed go real world "                          
[17] " finds can anything anything wants "                                                           
[18] " fight matrix skipping bad guy wants send back world destroy "                                 
[19] "laurence fishburne guide sorts plays character well keanu reeves "                             
[20] " sat theatre hour wondering special effects "                                                  
[21] "yeah first half enough "                                                                       
[22] " trailer movie really decieving making people think special effects laden movie "              
[23] "now second half explosive saves movie "                                                        
[24] " special effects fighting breathtaking "                                                       
[25] " sound music effects effective last hour kept us entertained "                                 
[26] " running time hours minutes movie least minutes long "                                         
[27] "one wished better matrix say like entertained "                                                
