 [1] "kevin smith like big kid "                                                                                                                                                                              
 [2] " humor sophisticated juveniles "                                                                                                                                                                        
 [3] " grew idolizing star wars loves comic books also written "                                                                                                                                              
 [4] " also cult following mostly composed teenagers college students smiths fellow adolescentminded grownups "                                                                                               
 [5] "smith hilarious person writing tries earnest moralize goes wrong "                                                                                                                                      
 [6] "kevin smith better writer director hell first tell "                                                                                                                                                    
 [7] " might also part reason moralizing comes across heavyhanded "                                                                                                                                           
 [8] "great directors show us theses instead characters sermonize "                                                                                                                                           
 [9] " true overrated chasing amy true dogma well "                                                                                                                                                           
[10] " say smiths message bad one "                                                                                                                                                                           
[11] " dogma smith tells us problems arise people believe beyond doubt insight god gods desires superior anyone elses "                                                                                       
[12] "basically dogmatism bad "                                                                                                                                                                               
[13] "changing minds dogmatic virtually impossible since dogmatic believe special insight also know best whether like "                                                                                       
[14] " exactly new message movies see inherit wind problems recycling old ones particularly since dogmas protesters proving smiths point "                                                                    
[15] "smiths problem delivering message beats us head like reading dogma dummies book "                                                                                                                       
[16] " smiths personality simplistic views neglect adult issues one interpret bible koran etc correctly even correctly one settles disputes heretofore dogmatic concerns "                                    
[17] " story concerns abortion clinic worker bethany linda fiorentino chosen voice god metatron alan rickman prevent destruction universe two fallen angels bartleby ben affleck angel death loki matt damon "
[18] "along way forgotten thirteenth apostle rufus chris rock stripper muse serendipity salma hayek slacker duo jay silent bob jason mewes kevin smith come bethanys aid "                                    
[19] "fallen muse azrael jason lee proves behindthescenes manipulator chicanery "                                                                                                                             
[20] " logical convoluted plot exists excuse jokes make smiths points little dramatic momentum "                                                                                                              
[21] "among supposedly outrageous claims made film god woman jesus black bible written bunch racist misogynistic white men "                                                                                  
[22] " course kevin smith necessarily subscribe ideas "                                                                                                                                                       
[23] " metaphor fears insecurities dogmatic "                                                                                                                                                                 
[24] "smith says much amusing disclaimer precedes movie "                                                                                                                                                     
[25] " harvey weinstein asked smith put film cannes smith thought might give validation protesters claims film sacrilegious rethought turned disclaimer joke "                                                
[26] " films humor uneven "                                                                                                                                                                                   
[27] " parts funny bethany goes fire extinguisher metatron makes burningbush kind entrance "                                                                                                                  
[28] " many films jokes just bomb virtually anything involving salma hayeks serendipity "                                                                                                                     
[29] "also jokes can seen coming mile away "                                                                                                                                                                  
[30] "still smith keeps zingers coming sufficiently rapid pace "                                                                                                                                              
[31] "among actors fiorentino rickman stand far "                                                                                                                                                             
[32] "fiorentino virtually gives film emotional weight "                                                                                                                                                      
[33] "damon affleck fairly lackluster "                                                                                                                                                                       
[34] "rock hayek exist film pretty much comic relief mews smith "                                                                                                                                             
[35] " latter duo fare much better jay silent bob recur smiths movies much line smiths brand humor "                                                                                                          
[36] "bud cort george carlin janeane garofalo guinevere turner alanis morissette make cameo appearances "                                                                                                     
