 [1] " remember making pact right patch adams easily suckered movies dripping sentimentality "                                                       
 [2] " darn music heart just layered feelgood material bright characterizations "                                                                    
 [3] " hard dislike movie uses skill manipulation "                                                                                                  
 [4] " addition also terrific family film "                                                                                                          
 [5] " true story violin teacher roberta guaspari fought school board keep musical program active handful inner city harlem schools "                
 [6] " also described mrs "                                                                                                                          
 [7] "streeps opus "                                                                                                                                 
 [8] "yes meryl streep brings dramatic clout demanding role guaspari brings good news bad "                                                          
 [9] " gate possibly distracting star power rushed writing relatively difficult identify robertas character grasp academic pointofview "             
[10] " strict students insight create story "                                                                                                        
[11] "slowly surely begin recognize intentions character show admiration thoughtfulness human feeling streep applied "                               
[12] "one thoroughly interesting fact music heart lies unlikely presence directors chair horror veteran wes craven "                                 
[13] " leaving impression scream films original nightmare elm street craven attempted precarious crossover drama "                                   
[14] " first inexperience genre fairly obvious film progresses craven finds surprisingly comfortable niche directing material "                      
[15] " doesnt carry heartwarming courage mr "                                                                                                        
[16] "hollands opus music heart casually assured filled little morsels dramatic truth "                                                              
[17] " tag team streep craven works better anticipate "                                                                                              
[18] "yes oscar come calling meryl streep solid ensemble cast makes music heart work "                                                               
[19] "angela bassett displays usual forceful stamina janet williams principal inner city school initially doesnt hire roberta lack experience "      
[20] "blueeyed adian quinn endearing always playing new love interest "                                                                              
[21] "gloria estefan also delivers tiny role supportive secondgrade teacher three lead actresses together produce flaming fireball estrogenic force "
[22] " like schoolteachers version thelma louise restrained effective manner "                                                                       
[23] " movie tackles issues just guasparis teaching violin "                                                                                         
[24] "theres powerful moments roberta two sons must cope father leaves another woman "                                                               
[25] " dramatic buildup movie manages produce authentic moments feeling warmth "                                                                     
[26] " good movie anyone see although missing experience lifealtering decision "                                                                     
[27] " commendable wes craven attempting difficult crossover also achieving intricate goal "                                                         
[28] "watching heartfelt chick flick morals musical instruments may ask guy directed scream "                                                        
[29] " course third installment series comes around february craven directing may find wondering guy directed music heart "                          
[30] "mission accomplished wes "                                                                                                                     
[31] "thankfully layer artificial sentiment covering film "                                                                                          
[32] " entirety wholesome agreeable movie whole family despite periodic flaws surface every awhile "                                                 
[33] " child actors cute perform par even problems clich d predictable extreme "                                                                     
[34] " mother doesnt want son learning white mans music unexpected casuality "                                                                       
[35] "basically everything "                                                                                                                         
[36] " doesnt strike perfect chord music heart highly convincing "                                                                                   
[37] " uplifting true story roberta guaspari told better music heart still edifying enough properly divulge morals "                                 
