 [1] " will devil take asks rhetorically lulling voice "                                                                                                                                                               
 [2] " spoiled title character onegin pronounced ohneggin waiting death relieve lifetime rapacious behaviour "                                                                                                         
 [3] "martha fiennes debut feature quite literally filmed poetry based epic russian poem alexander pushkin profound study regret confuse shame guilt "                                                                 
 [4] " first meet eugene onegin ralph acting sister another brother magnus composed score philandering aristocrat st petersburg just inherited uncles estate "                                                         
 [5] " plans sell onegin pays summer visit manor located underpopulated russian countryside long trip meets neighbouring family blue bloods "                                                                          
 [6] "smitten olga larina headey befriends olgas fianc vladimir lensky stephens olgas sister tatyana tyler romanticizing flippant attitude hes nineteenth bad boy falls onegin "                                       
 [7] " one sweaty inky torrent passion tatyana writes love letter "                                                                                                                                                    
 [8] " least intrigued note rejects affections implied can "                                                                                                                                                           
 [9] "soon tragedy strikes onegin makes scarce "                                                                                                                                                                       
[10] " catch six years later just returned st petersburg grand ball discovers old friend donovan married womanly wordly tatyana "                                                                                      
[11] " time onegin finds irresistable "                                                                                                                                                                                
[12] " amazing ralph fiennes performance subtle physical transformation dashing snob miserly grouch "                                                                                                                  
[13] "overwhelmed top hat onegin pines tatyana seems smaller stature one brushed ebeneezer scrooge trapped christmas past "                                                                                            
[14] " actor constricted playing heroes long nowtheres room breathe role thats made shades gray like onegin "                                                                                                          
[15] "petula clark sang universal phenomenon parking lot dont know youve got til gone "                                                                                                                                
[16] "onegins aboutface tatyana speaks us read us need confirmation someone something wanted others want well "                                                                                                        
[17] " character feels jealousy remorse embarrassment even let go "                                                                                                                                                    
[18] " identification feel empathy onegin callous bastard "                                                                                                                                                            
[19] "tatyanas emotions echo thousand ditties makes less vital "                                                                                                                                                       
[20] " changes girl crush woman divided loyalties "                                                                                                                                                                    
[21] "tyler acquits surprisingly well among uk costars filling sketchy gaps expressing base sentiments series wanton stares "                                                                                          
[22] " faces mr fiennes ms tyler capable conveying archetypal russian misery "                                                                                                                                         
[23] "onegin added little distinguished episode masterpiece theater even current cast thoroughbreds intact martha fiennes helm "                                                                                       
[24] " mtv background cut teeth directing rock videos xtc others positively influenced sense pace though thankfully shot lengthsno spasmodic cutting just minutes onegin clicks along like brisk walk valleys despair "
[25] " film atypical period look well "                                                                                                                                                                                
[26] "absent sumptuous tableware antique furnishings stand plot character drippy merchant ivory productions "                                                                                                          
[27] " sets almost expressionistically bare echoing loneliness protagonists "                                                                                                                                          
[28] " cinematographer remi adafarasin often allows space engulf im reminded climax unfolds sea white "                                                                                                                
[29] "martha fiennes clear command cinema spare often painfully human visual presentation yevgeny onegin arguably lucid translation pushkins difficult text yet "                                                      
[30] "ms fiennes may exciting female presence behind camera since jane campion "                                                                                                                                       
