 [1] "star wars episode phantom menace "                                                                                                                                                                                                                                                                                               
 [2] "review matt pusateri "                                                                                                                                                                                                                                                                                                           
 [3] " movies evoke nostalgia enthusiasm affection like george lucas classic star wars "                                                                                                                                                                                                                                               
 [4] " original blockbuster film two sequels evoked wonder passion generation filmgoers deeply entrenched american pop culture "                                                                                                                                                                                                       
 [5] "arguably americans today can explain force jedi budget deficit serb "                                                                                                                                                                                                                                                            
 [6] " years release original years since third film return jedi can new star wars film withstand weight incomparable expectations anticipation "                                                                                                                                                                                      
 [7] "can new storyline new cast characters possibly compete legends first trilogy luke han solo darth vader cultural icons "                                                                                                                                                                                                          
 [8] " challenge fourth star wars film episode one phantom menace hit screens last week "                                                                                                                                                                                                                                              
 [9] " despite early critical reviews major media film neither flop disappointment "                                                                                                                                                                                                                                                   
[10] " phantom menace certainly finest film series nonetheless engaging exciting visually breathtaking "                                                                                                                                                                                                                               
[11] " worthy sequel er prequel original star wars films "                                                                                                                                                                                                                                                                             
[12] " phantom menace takes place decades setting original films "                                                                                                                                                                                                                                                                     
[13] " film opens obiwan kenobi ewan mcgregor wise old master introduced luke force original star wars young jedi apprentice still learning fellow jedi instructor quigon jinn liam neeson "                                                                                                                                           
[14] " republic government sent two jedi settle trade dispute developed blockade planet naboo shifty trade federation "                                                                                                                                                                                                                
[15] " jedi quickly find negotiations middle planetary invasion rushing protect naboos young queen amidala natalie portman "                                                                                                                                                                                                           
[16] "later eventually rescuing amidala helping escape naboo forced stop tatooine repair battledamaged ship bringing galactic senate make appeal justice "                                                                                                                                                                             
[17] " tatooine quigon discovers young slave boy anakin skywalker jake lloyd can help get parts need displays uncanny intelligence insight instincts "                                                                                                                                                                                 
[18] "quigon senses child unusually strong force begins suspect may one prophesized bring balance force "                                                                                                                                                                                                                              
[19] " anyone watched original star wars trilogy knows far galactic savior innocentlooking yearold will time become ruthless darth vader "                                                                                                                                                                                             
[20] "complicating matters mysterious hooded figure darth sidious behind trade blockade invasion naboo sends lethal apprentice darth maul find capture queen amidala "                                                                                                                                                                 
