 [1] " cryptic teaser trailer unspooling moviehouses quite sometime now mut found "                                                                                                                                                                                                           
 [2] " exactly fifth element "                                                                                                                                                                                                                                                                
 [3] " seeing luc bessons ambitious muchshroudedinsecrecy science fiction fantasy help let actual answer nearly exciting clever one think "                                                                                                                                                   
 [4] " far letdown film whole wildly imaginative feast senses best science fiction films docreate universe unlike presented silver screen "                                                                                                                                                   
 [5] " biggest irony fifth element one thing kept tight wrapsthe actual storylineis conventional dismayingly element pun intended film "                                                                                                                                                      
 [6] "speaking vaguest possible terms basics plot follows year great force evil threatens consume earth four elementsearth wind fire waterunited fifth element can stop "                                                                                                                     
 [7] "figuring new york cabbie korben dallas bruce willis shady southerndrawling entrepreneur name zorg hilariously hammy gary oldman picking left bessons professional priest ian holm mysterious creature named leeloo milla jovovich "                                                     
 [8] " pieces come together tidy somewhat underwhelmingand unsurprisingfashion denying basic story holds intrinsic interest "                                                                                                                                                                 
 [9] " remains interesting exciting however brief glimpses fascinating world besson created production designer dan weil director photography thierry arbogast visual effects supervisor mark stetson crew digital domain "                                                                   
[10] " look absolutely mesmerizing right opening moments last "                                                                                                                                                                                                                               
[11] " frenzied cityscape new york vibrant dayglo colors tall buildings penetrating high clouds swarm cars cabs vehicles flying labyrinthian skyways absolutely breathtaking behold especially wild car chase sequence early film "                                                           
[12] " completely captivating vision people inhabiting settings werent equally interesting ever "                                                                                                                                                                                             
[13] " addition exotic menagerie alien creatures populate world bulky robots doglike mangalores humans outfitted costumes eccentric designer jeanpaul gaulthier best known creating madonnas pointy bustier getup blonde ambition tour "                                                      
[14] "gaulthiers outlandish creations number worn leeloo made entirely white straps feel home bessons futuristic vision fashion runway world add sense otherworldliness film "                                                                                                                
[15] " bessons bold vision biggest virtue film also biggest obstacle reaching mass audience "                                                                                                                                                                                                 
[16] " imagination certain things film may bit quirky bizarre "                                                                                                                                                                                                                               
[17] " really know middle america will make outrageous character film ruby rhod chris tucker flamboyant disc jockey makes dennis rodman look conservativehe makes raucous entrance dressed animal print dress sporting blonde hairdo shape hair dryer speaking high pitches rapid fire speed "
[18] " first characters hyper energy funny act wears welcome quickly "                                                                                                                                                                                                                        
[19] " irritating just strange musical number blueskinned alien chanteuse diva maiwenn lebesco singsand dancesan aria unlikely blend classical opera techno "                                                                                                                                 
[20] " tune entirety longtime besson collaborator eric serras innovative score haunting also completely jarring "                                                                                                                                                                             
[21] " campy touches humor besson coscripter robert mark kamen sprinkle throughout often silly forced comic sexual encounter ruby rhod flight attendant highly distracting funny boot "                                                                                                       
[22] " storys weakness shines climax conclusion fifth element "                                                                                                                                                                                                                               
[23] " still visually aurally spectacular events detailed exciting powerful "                                                                                                                                                                                                                 
[24] " big serious dramatic climax met snickers ambitiously strives profundity film even begun work toward "                                                                                                                                                                                  
[25] " end sense something bigger work still left said story characters "                                                                                                                                                                                                                     
[26] " suspicion confirmed besson told lobby following screening imagine filmmaker watching film enemy critics made screen really just first half lengthy original fifth element screenplay second halfnow titled mr shadowis still waiting made "                                            
[27] "still despite story problems fifth element artistic triumph luc besson rarely filmmakers original vision come screen audacious undiluted glory "                                                                                                                                        
[28] " fascinating example one artists fervid imagination can transport audience intoxicating fantasy world generally seen dreams "                                                                                                                                                           
