 [1] "alchemy steeped shades blue "                                                                                                                                         
 [2] "kieslowskis blue "                                                                                                                                                    
 [3] " examination death isolation character restoration recovery loss suzanne myers new independent film echoes polish directors internationallyacclaimed release "        
 [4] "language aside principal difference films kieslowski took great pains draw us main characters world alchemy keeps viewers arms length "                               
 [5] " result able appreciate films intellectual tapestry emotionally distant "                                                                                             
 [6] "alchemy divided three chapters charity faith hope "                                                                                                                   
 [7] " common themes story elements running three single constant main character sculptorrussian translator named louisa rya kihlstedt "                                    
 [8] " film opens shes living painter boyfriend believes cheating "                                                                                                         
 [9] "following sudden death automobile accident louisas life thrown turmoil "                                                                                              
[10] "events swirls around cant find source stability "                                                                                                                     
[11] " quest make sense loss befriends late boyfriends mistress visits ill sister eventually abandons old life joining backto nature cult "                                 
[12] "alchemy successfully explores variety compelling issues "                                                                                                             
[13] " addition asking basic question person cope unexpected death loved one probes beneath surface concepts like importance faith healing process meaning love nature art "
[14] " personality restoration come interacting others escaping familiar "                                                                                                  
[15] " artistic epiphanies result focused solitude living life various distractions fullest "                                                                               
[16] "myers challenge make subjects art film staples engrossing new context "                                                                                               
[17] " louisas struggles succeeds "                                                                                                                                         
[18] " alchemy isnt always emotionally appealing never loses fascination "                                                                                                  
[19] "even connecting louisa often locus ideas fullydeveloped personality theres enough material onscreen hold attention "                                                  
[20] " cinematography stunning "                                                                                                                                            
[21] "city scenes tinted blue adding cold bleak dimension films early portions "                                                                                            
[22] "later louisa reaches wilderness treated dazzling array autumnal splendor brightlycolored leaves trees ground "                                                        
[23] " startlingbuteffective visual contrast emphasizes changes taking place louisas life travels road back emotional stability "                                           
[24] " title refers practice group mystical faith healers use alchemy provide needs body soul "                                                                             
[25] " although louisa partakes peculiar brand medicine ultimately love companionship alchemy brings solace "                                                               
[26] " pain assuaged lets go belief inherent safety alone lifes ultimate goal "                                                                                             
[27] "even though louisas final transformation lacks impact possessed vital character still intriguing enlightening process watch "                                         
[28] "alchemy isnt pure magic especially best moments close "                                                                                                               
