 [1] "imagine "                                                                                                                                                 
 [2] "youre given sword shield basic minimal training "                                                                                                         
 [3] " man dont know tells will last day will live "                                                                                                            
 [4] " thrown arena thousands spectators wanting see die "                                                                                                      
 [5] " frantically monitor several closed doors seconds will release vicious enemies prepared destroy "                                                         
 [6] " watch innocent friends made last days murdered cold blood "                                                                                              
 [7] " lucky enough survive chaos thrown know youre going tomorrow "                                                                                            
 [8] "eventually know matter strong skilled youre going die "                                                                                                   
 [9] " life gladiator "                                                                                                                                         
[10] "youll never gladiator seeing ridley scotts powerful gladiator youll thankful "                                                                            
[11] " new film scott returned cinema fascinating age ancient roman empire "                                                                                    
[12] " like preceding spartacus ben hur gladiator nearly everything going strong lead actor wonderful supporting cast eyecatching special effects great script "
[13] "since two aforementioned films came prime target viewers gladiator teenagers thirtyyearold males around whole new genre may just reborn revisited "       
[14] " weak beginning film starts extremely gloomy inauspicious "                                                                                               
[15] "romes best general maximus russell crowe helped empire conquer nearly everywhere attempted currently year d waging war germania "                         
[16] "scott shoots gory battle awkward style similar saving private ryan much less effective "                                                                  
[17] " blurry slow motion sound muted "                                                                                                                         
[18] " soon artistic method began hard tell "                                                                                                                   
[19] " good thing scott stops first twenty minutes else gladiator torture watch "                                                                               
[20] "instead general swears will get battle "                                                                                                                  
[21] " wants go back family crops wants quiet life "                                                                                                            
[22] " unexpectedly gets anything "                                                                                                                             
[23] " dying emperor rome marcus aurelius richard harris decides maximus appointed new emperor rome dies "                                                      
[24] " asks maximus restore republic giving power senators "                                                                                                    
[25] " go well aurelius son commodus joaquin phoenix expecting father name new emperor "                                                                        
[26] "jealous upset commodus kills father names emperor kills maximus wife son attempts kill maximus "                                                          
[27] " maximus able escape death vows kill commodus fulfill marcus aurelius wishes "                                                                            
[28] "now slave way can win freedom complete goal become winning gladiator eventually released success "                                                        
[29] " story betrayal promises gladiator just mindless action flick "                                                                                           
[30] " actually care characters sometimes even evil villain commodus just young man determined make rome one way maximus determined make way "                  
[31] "phoenix plays character brilliantly "                                                                                                                     
[32] "think commodus percy wetmore pantwetter green mile roman empire whiny sleazy respectmebecausemyfatherwasagoodman brat hates hes center attention "        
[33] "every scene see commodus hes either crying looks like just crying "                                                                                       
[34] "phoenix definitely matured actor since die gladiator shows hes just rivers little brother "                                                               
[35] "crowe also excellent films grislyfaced hero "                                                                                                             
[36] "maximus one characters recent cinema actually emotions "                                                                                                  
[37] " guy actually acts like anyone situation act hes invincible superhero blurts oneliners believe acts like human "                                          
[38] " rest cast including richard harris djimon hounsou walter hill derek jacobi connie nielsen also first rate "                                              
[39] "ridley scott using outstanding special effects brilliantly recreated roman coliseum loudness roman mob city rome general "                                
[40] " visuals breathtaking voluminous like cleopatra year "                                                                                                    
[41] " costuming also wonderful detailed shields armor exquisite dress upperclass politicians "                                                                 
[42] "gladiator another movie see big screen get experience "                                                                                                   
[43] "along u action fans plenty see theaters week expect much excitement come summer "                                                                         
