 [1] "ingredients starving artist lusting beautiful woman childhood "                                                                                                                                                           
 [2] "synopsis great expectations modernized version charles dickens novel "                                                                                                                                                    
 [3] " original charles dickens classic orphan boy named pip learns life friendship escaped convict relationship bitter old lady named miss havisham hopeless lifetime infatuation havishams snobbish adopted daughter estella "
 [4] " gist story anonymous benefactor sends pip london pip become upper class gentleman "                                                                                                                                      
 [5] "pip leaves london great expectations groomed gentleman can one day classy enough marry estella "                                                                                                                          
 [6] " life way complicating things "                                                                                                                                                                                           
 [7] "pip becomes arrogant s o b "                                                                                                                                                                                              
 [8] " learns just secret benefactor "                                                                                                                                                                                          
 [9] " new version great expectations poor florida lad named finn ethan hawke talent drawing early memory helping escaped convict robert de niro "                                                                              
[10] " soon focus finns life becomes romance develops lifelong infatuation estella gwyneth paltrow upper crust girl psychological emotional issues due raised dysfunctional environment "                                       
[11] "estella raised wealth ms dinsmoor anne bancroft eccentric aged embittered manhating single aunt whose groom left abandoned altar day marriage "                                                                           
[12] " causes estella fear daylight relationships finn thinks just case snobbery "                                                                                                                                              
[13] " finn becomes young man anonymous benefactor sets finn new york connections publicity groomed famous artist "                                                                                                             
[14] "finn leaves florida great expectations successful artist day might become classy enough marry snobbish estella "                                                                                                          
[15] " will happen finns great expectations "                                                                                                                                                                                   
[16] "opinion youre looking romance happy ending look youve found one "                                                                                                                                                         
[17] "ethan hawke romantic lead "                                                                                                                                                                                               
[18] " romanced winona ryder reality bites "                                                                                                                                                                                    
[19] " romanced julie delpy sunrise "                                                                                                                                                                                           
[20] " romanced uma thurman gattaca "                                                                                                                                                                                           
[21] "now great expectations gets chase gwyneth paltrow railthin blonde "                                                                                                                                                       
[22] "hawke plays lovestruck earnest unchanged finn throughout film "                                                                                                                                                           
[23] "meanwhile paltrow portrays estella alternating infuriating tease ice princess estellas whole purpose get men fall love hurt rather become intimate "                                                                      
[24] "anne bancroft goes little overboard deranged pessimistic ms dinsmoor robert de niro carries convict part suitably "                                                                                                       
[25] " difference classic dickens novel adaptation dickens novel ripe deep timeless themes class struggle love whereas great expectations artsy less complicated story s artist dealing lifetime tease "                        
