 [1] " summer one racially charged novels john grishams series time kill made major motion picture "                                                                                                                                                            
 [2] " january year director rob reiner basically rereleased film title ghosts mississippi "                                                                                                                                                                    
 [3] "based true story civil rights leader medgar evars assassination ghosts mississippi revolves around year legal battle faced myrlie evars whoopi goldberg sister act quest husbands obvious assassin racist byron de la beckwith james woods casino jailed "
 [4] " turns assistant district attorney prosecutor bobby delaughter alec baldwin heavens prisoners imprison former kkk member "                                                                                                                                
 [5] "ghosts sets tone opening montage images africanamerican history slaveship miseries life racist south s "                                                                                                                                                  
 [6] " soon white folks take intoning lines like whats america got anything "                                                                                                                                                                                   
 [7] " mississippi "                                                                                                                                                                                                                                            
 [8] " beckwith james woods head larded latex time old man teeters portraying evil character "                                                                                                                                                                  
 [9] "meanwhile goldberg turns serious weepy performance wife wouldnt let husbands death rest got conviction "                                                                                                                                                  
[10] " deserve serious oscarconsideration "                                                                                                                                                                                                                     
[11] " brings us dull performance baldwin "                                                                                                                                                                                                                     
[12] "lets face trying match matthew mcconaugheys wonderful acting time kill basically impossible "                                                                                                                                                             
[13] " baldwin living proof emotions felt "                                                                                                                                                                                                                     
[14] " seemed actually struggle shed single tear "                                                                                                                                                                                                              
[15] "either poor acting poor directing something definitely went wrong "                                                                                                                                                                                       
[16] "another strange mishap fact goldbergs facial features didnt change looked courtroom holding husbands dead body years earlier "                                                                                                                            
[17] "yet woods plastered enough make make look like goldbergs father "                                                                                                                                                                                         
[18] " least makeup realistic "                                                                                                                                                                                                                                 
[19] " emotional moments poorly written script ghosts mississippi lacked heart predecessor time kill brought tears everyones eyes "                                                                                                                             
[20] "dont get wrong movie wasnt bad youve seen grishams masterpiece dont expect one excellent film "                                                                                                                                                           
[21] " "                                                                                                                                                                                                                                                        
