 [1] "look back times life fork path future "                                                                                                                             
 [2] " sort decision made better worse irrevocably altered course existence "                                                                                             
 [3] " timetotime everyone thinks roads taken things might turned choice different "                                                                                      
 [4] "perhaps even dizzying contemplate seemingly minor action catching train example equally profound yet less obvious impact "                                          
 [5] "maybe thats met significant reached platform just seconds later "                                                                                                   
 [6] "film makers less fascinated issues destiny anyone else thats theres shortage movies subject "                                                                       
 [7] " best bunch probably made late polish director krzysztof kieslowski obsessed questions fate chance "                                                                
 [8] " themes weave way many movies including decalogue double life veronique triptych blue white red "                                                                   
 [9] "however explicitly examined film called blind chance kieslowski presents three different fates one man minor action missing catching train changes course life "    
[10] " autobiography kieslowski kieslowski director describes attraction concept way idea rich interesting every day faced choice end entire life yet completely unaware "
[11] " approach fodder several notable dramatic films including way frank capras wonderful life sliding doors first romantic comedy plumb depths "                        
[12] " road taken approach isnt just plot device either "                                                                                                                 
[13] "writerdirector peter howitt expands upon possible fates character just missescatches train "                                                                        
[14] " audience watches evergrowing fascination one event impacts upon every aspect life future career lives loves whether family "                                       
[15] " separate destinies diverge reconverge becomes two completely different individuals "                                                                               
[16] " woman helen played gwyneth paltrow long dark haired brit "                                                                                                         
[17] "one day losing job advertising executive decides return home middle day "                                                                                           
[18] " scene pivotal moment train platform "                                                                                                                              
[19] " scenario just slips sliding doors train pulls station "                                                                                                            
[20] " board meets cheerful talkative james john hannah monty python fan taken beauty "                                                                                   
[21] "minutes later flat walks lover gerry john lynch bed another woman jeanne tripplehorn "                                                                              
[22] " scenario misses train shortly thereafter victim attempted mugging "                                                                                                
[23] " doesnt meet james fails make home time discover gerrys infidelity "                                                                                                
[24] "juxtaposed one sharing many places cues characters two stories proceed parallel "                                                                                   
[25] " one level viewers enjoy pondering workings fate sliding doors can viewed deep wonderful experience "                                                               
[26] " just appreciate romantic comedy characterized solid acting script twists great deal genuinely funny material sliding doors still fits bill "                       
[27] "one obvious strengths can satisfy many different types audiences demand something substantial motion pictures care less "                                           
[28] " shouldnt come surprise acting least three four leads solid "                                                                                                       
[29] "paltrow double duty two helens initially yet gradually become much different standout "                                                                             
[30] " plays roles effectively believably shy insecure woman stays gerry liberated platinumblond severs ties old life embarks new career new man "                        
[31] "john hannah known american viewers younger gay character four weddings funeral instantly likable "                                                                  
[32] "john lynch taking break movies irelands troubles good job presenting gerry inept selfish philanderer "                                                              
[33] " jeanne tripplehorn plays overthetop vixen seems place "                                                                                                            
[34] " attempts broad comedy occasionally jarring occasionally difficult see lydia anything plot element "                                                                
[35] "one member supporting cast deserves special notice "                                                                                                                
[36] "douglas mcferran plays gerrys best friend russell absolute delight stealing every scene hes "                                                                       
[37] "part surely given best lines movie "                                                                                                                                
[38] " one occasion marvelous monologue bemoaning advances telecommunications industry trapped men life monogamy "                                                        
[39] " another occasion laughing gerrys plight women life comments makes wait next episode seinfeld bearable "                                                            
[40] " dialogue "                                                                                                                                                         
[41] "mcferran tears part relish performance becomes one memorable aspects topnotch comedy "                                                                              
[42] " first feature film peter howitt approaches task unimpeachable aplomb "                                                                                             
[43] " script shrewd inventive combining wit romance intelligent melodrama crowdpleasing whole "                                                                          
[44] "sliding doors grants just good time movies however "                                                                                                                
[45] " inclined central theme offers opportunity ponder philosophical questions workings universe good time "                                                             
