 [1] "lean mean escapist thrillers tough product come "                                                                                                                                                                                
 [2] " unnecessarily complicated others sense expediency thrillride effect gets lost cumbersome plot "                                                                                                                                 
 [3] "perhaps ultimate escapist thriller fugitive featured none flashbang effects todays market rather breadandbutter textbook example clever script good direction "                                                                  
 [4] " latest tony scott movie enemy state doesnt make level "                                                                                                                                                                         
 [5] " true nineties product runs like greased lightning maze cell phones laptop computers without looking back "                                                                                                                      
 [6] "although director scott made missteps past lame thriller fan hes generated good deal energy pictures like crimson tide top gun "                                                                                                 
 [7] " vibrant spirit present shown welltimed carefully planned chase scenes give movie aura sheer speed "                                                                                                                             
 [8] "enemy state also features unprecedented use amazing cinematography director photography daniel mindel throws staggering amount different views angles lenses film stocks audience goes long way toward involving audience movie "
 [9] "enemy truly visual experience thats one reasons fun watch "                                                                                                                                                                      
[10] " movie lights aging senator visited nsa deputy chief thomas reynolds jon voight "                                                                                                                                                
[11] "reynolds wants new communications act passed allow government free reign use surveilance equipment senator plans bury bill committee "                                                                                           
[12] "reynolds senator offed murder caught naturalists camera "                                                                                                                                                                        
[13] " extremist chain events tape ends labor lawyer robert dean will smith s posession long hes running reynolds cronies "                                                                                                            
[14] " help exspook named brill gene hackman dean able get bottom things "                                                                                                                                                             
[15] " acting top notch three principles smith hackman voight generally mature excellent around "                                                                                                                                      
[16] "smith puts aside wisecracking act becomes normal human voight tones amount sneer puts character greater ominpotence hackman simply top mysterioso role "                                                                         
[17] "smiths regular joe comes particularly well runs authorties reasons knows "                                                                                                                                                       
[18] " supports also fine form lending credibility main roles advancing plot key areas "                                                                                                                                               
[19] " holiday crowd hot ticket well anyone looking serving genuine action market otherwise lacking "                                                                                                                                  
