 [1] "let open one confession love cop movies "                                                                                                                                                                                                                                                                                        
 [2] " adore unwavering near foolish passion actually one first line see s one tough cop starring smirkiest baldwin brothers steven "                                                                                                                                                                                                  
 [3] " good "                                                                                                                                                                                                                                                                                                                          
 [4] "well just good baldwins steven seagal impression ive confused answer resounding "                                                                                                                                                                                                                                                
 [5] "now let clarify dont love just cop movie im keen smug buddy cop flicks vogue s now slowly gulp returning thanks jackie chan chris tucker "                                                                                                                                                                                       
 [6] "im partial gritty earthy cop dramas like serpico donnie brasco french connection "                                                                                                                                                                                                                                               
 [7] "problem films come along just often george w bush makes cogent point whenever true cop movie hit multiplexes come running towards like eager puppy inevitably leave head bowed tripping squiggly tail "                                                                                                                          
 [8] " cop movies transform moron willing shell movie called one tough cop actually sounds lot like wiseguy spinoff "                                                                                                                                                                                                                  
 [9] "truth im sucker barren streets gritty graffiti strewn modernist jungle dangerous criminals lurk cops like modern day knights must shield us iniquitous clutches "                                                                                                                                                                
[10] "yes corny awfully boys clubish im guessing precisely feelings come "                                                                                                                                                                                                                                                             
[11] " little tots us boys brought create wars gi joes enact cops robbers cowboy indian fantasies etc best gritty cop films tap gleeful adolescent fantasies heighten turning existential nightmare thin moral lines psychological chaos "                                                                                             
[12] " adult tastes havent changed drastically sure can get cerebral high emotional complexities krzysztof kieslowski film still delight promise guy film potentially bring "                                                                                                                                                          
[13] "now cops whore corrupt ones "                                                                                                                                                                                                                                                                                                    
[14] "ooh one really gets going protectors using service taking advantage others gain "                                                                                                                                                                                                                                                
[15] "throw courtroom drama yech "                                                                                                                                                                                                                                                                                                     
[16] " pot tremendously absorbing sidney lumet film prince city "                                                                                                                                                                                                                                                                      
[17] " absorbing prince city ask "                                                                                                                                                                                                                                                                                                     
[18] " damn absorbing film shifts gritty undercover cop drama courtroom drama subgenre loath way kristy swanson must loath sarah michelle gellar remained completely utterly involved "                                                                                                                                                
[19] " film stars treat williams gives kind performance skyrocketed career level brad pitt currently resides "                                                                                                                                                                                                                         
[20] "since hatched mere two years prior release prince city provide answer didnt "                                                                                                                                                                                                                                                    
[21] " though judging recent roles tripe like deep rising dead heat guess probably something quite bad career moves "                                                                                                                                                                                                                  
[22] "like mickey rourke eric roberts currently time direct video purgatory williams talented leading man didnt make "                                                                                                                                                                                                                 
[23] " justice dog gone world keanu reeves one banished direct video hell "                                                                                                                                                                                                                                                            
[24] " actor given role dissimilar al pacinos serpico also directed lumet "                                                                                                                                                                                                                                                            
[25] "williams plays danny ciello member elite squad police officers take drug dealers gritty prejuliani streets new york "                                                                                                                                                                                                            
[26] " work without uniforms hours much like paid vigilantes "                                                                                                                                                                                                                                                                         
[27] " analogy apt seeing bunch kinda sorta forced using corrupt means get job done "                                                                                                                                                                                                                                                  
[28] " squad relies entirely informants low level junkies gain access big wigs order obtain info seek sometimes provide junkies junk choice "                                                                                                                                                                                          
[29] "danny done though hes fairly honorable guy took job order good intentions gotten bit skewed along way "                                                                                                                                                                                                                          
[30] " seeks redemption concludes best way go getting talking internal affairs convince go undercover double agent "                                                                                                                                                                                                                   
[31] " one condition will rat partners "                                                                                                                                                                                                                                                                                               
[32] "right away know exactly hell "                                                                                                                                                                                                                                                                                                   
[33] " watching movie build thrilling way great character driven story can "                                                                                                                                                                                                                                                           
[34] "undercover cop films almost innately exciting even kind pull cliches like deep "                                                                                                                                                                                                                                                 
[35] " can one moved issues betrayal ambiguity danger putting oneself risky position "                                                                                                                                                                                                                                                 
[36] "prince city takes charges perceptive hard boiled script taut unintrusive direction old pro sidney lumet well handful intense performances notably treat "                                                                                                                                                                        
[37] "lumets greatest contribution movie lays back lets camera soak action "                                                                                                                                                                                                                                                           
[38] " scenes transition rapidly one next building layers tension rarely holds reaction shots instead clicks away precisely moment character stops yakking "                                                                                                                                                                           
[39] "lumets worst tendency one many film makers especially oliver stone tend overuse relies little heavily actors shouting lines presumably order ratchet tension "                                                                                                                                                                   
[40] " isnt much problem night falls manhattan lumets recent cop lawyer endeavor movie nearly gave ulcer just watching "                                                                                                                                                                                                               
[41] "though late lumet made several really awful career choices maybe treat get together drink something recent completely unnecessary remake gloria sustaining tension film runs minutes one dull spot "                                                                                                                             
[42] " formula pictures like best simplistic "                                                                                                                                                                                                                                                                                         
[43] "hollywood often forgets easy make kinds pictures even tolerable "                                                                                                                                                                                                                                                                
[44] " course cop movies arent popular anymore yes buddy cop flicks popular like extended sitcoms gunfire amid punch lines just look average hollywood action movies flicks bloated full unnecessary fat like boring love interest serves purpose stall action demonstrate hero isnt gay lame comic relief character whos never funny "
[45] " moral ambiguities prince city back basics cop courtroom drama leaves crap really thrills "                                                                                                                                                                                                                                      
[46] " focuses completely story characters completely believable cops lawyers junkies "                                                                                                                                                                                                                                                
[47] "theres great scene early irate williams shouts ia officer looks hes go one corny braveheart inspirational speeches instead breaks front cop begins sobbing "                                                                                                                                                                     
[48] " scene never make michael bay film even though bruce willis sacrifices life end armageddon one damn tear cut director say oh makes human excuse weak "                                                                                                                                                                           
[49] " next scene danny speaks hushed raspiness straining get words "                                                                                                                                                                                                                                                                  
[50] "hes lost voice "                                                                                                                                                                                                                                                                                                                 
[51] " little itty bitty detail matter "                                                                                                                                                                                                                                                                                               
[52] "maybe sure made night "                                                                                                                                                                                                                                                                                                          
[53] " sprawling epic corruption greed betrayal violence nice see someone paying attention little things "                                                                                                                                                                                                                             
