 [1] " youll go ape tarzan fun barrel monkeys "                                                                                                                                        
 [2] "okay theres quote case disney wants put something ads movie "                                                                                                                    
 [3] "disneys latest animated feature throws us right action beginning skipping usual main title sequence putting us pitching waves small family attempts escape sinking ship "        
 [4] "father mother infant somehow make shore amidst rousing song phil collins soon built treehouse impress swiss family robinson "                                                    
 [5] " amazing kinds things can work soundtrack "                                                                                                                                      
 [6] " know unfortunate set circumstances put baby hands kala glenn close mother ape recently lost baby predatory leopard "                                                            
 [7] " wishes mate family leader kerchak lance henricksen takes infant boy "                                                                                                           
 [8] "tarzan much story human boy surviving african jungles one really fit either humanity wild "                                                                                      
 [9] "much tarzans young life spent trying become one apes eyes peers father occasionally gets trouble matter wellmeant attempts "                                                     
[10] " hes looking acceptance perhaps goal easily identifiable young viewers one will ring true lot adults "                                                                           
[11] " really think story fits right disney formula outcast triumphs end "                                                                                                             
[12] "look back past disney animated features youll see trend "                                                                                                                        
[13] "growing tarzan voiced alex d linz child tony goldwyn adult couple friends "                                                                                                      
[14] "one ape named terk rosie odonnell paranoid hypochondriac elephant named tantor wayne knight "                                                                                    
[15] " provide requisite comic relief timon poombah lion king immediately come mind perform usual hijinks prescribed disney mold "                                                     
[16] "im beginning think anyone can write screenplay one films "                                                                                                                       
[17] "just fill blanks "                                                                                                                                                               
[18] "can see "                                                                                                                                                                        
[19] " now couple zany friends hero might get mischief cover come rescue needs "                                                                                                       
[20] "weve already fish crab weve candle teapot genie dog stone statues "                                                                                                              
[21] " ape elephant yet "                                                                                                                                                              
[22] "well go "                                                                                                                                                                        
[23] " course theres gotta romance somewhere along line jane minnie driver gets introduced halfway "                                                                                   
[24] "together father dr porter nigel hawthorne big game hunter clayton brian blessed jane expedition find study wild gorillas africa "                                                
[25] " discovers man raised apes enchanted almost immediately soon shares amusing version compulsory tarzan jane scene "                                                               
[26] "thankfully arent exact words "                                                                                                                                                   
[27] "however found distracting tarzan going ohh ohh ee ee one second tells jane name manly voice perfect diction "                                                                    
[28] " tell name another ape "                                                                                                                                                         
[29] " ohh ohh ee tarzan ee ee ohh "                                                                                                                                                   
[30] "well regardless picky nature romance actually works disney romance can purely contrived reason rather believable "                                                               
[31] " hey tarzans young adult "                                                                                                                                                       
[32] " think dated female apes meeting jane "                                                                                                                                          
[33] "isnt illegal countries "                                                                                                                                                         
[34] "oh well "                                                                                                                                                                        
[35] " dont think disney will using quote anymore "                                                                                                                                    
[36] "tarzan departs usual disney feature one musical "                                                                                                                                
[37] "theres lots music sure single character song whole hour half running time "                                                                                                      
[38] " instead get phil collins concert less five original songs used interlude material "                                                                                             
[39] " isnt really bad thing songs highenergy catchy found singing one following day just different "                                                                                  
[40] " favor see film theater good sound system music will come astonishingly well really enhance movie "                                                                              
[41] " new feature disney animation gets even better "                                                                                                                                 
[42] " necessarily leaps bounds since put new film year steady rate improvement apparent definitely shows tarzan "                                                                     
[43] " couple scenes animation achieves near d effect number scenes feature tarzan moving trees absolutely dizzying "                                                                  
[44] " way slides tree limbs trunks reminiscent skateboarding rollerblading maneuvers thinking isnt just tarzan extreme tarzan "                                                       
[45] "however tarzan seem call chandelier scene one scene animators chosen devote inordinate amount effort utilizing computerassisted process makes animation absolutely breathtaking "
[46] "lasting seconds signature nearly every disney animated feature since beauty beast castle ballroom chandelier rendered stunning detail "                                          
[47] " usual voice talent snuff convincingly make believe convictions animated characters "                                                                                            
[48] " one poor choice casting however rosie odonnell "                                                                                                                                
[49] "going film didnt know even part terk started talking recognized voice immediately "                                                                                              
[50] " performance fine rest film kept thinking thats boy ape rosie odonnell "                                                                                                         
[51] "distracting say least "                                                                                                                                                          
[52] "ill admit ive never read edgar rice burroughs story tarzan apes couldnt tell true film stays book "                                                                              
[53] " unless youre purist objections film "                                                                                                                                           
[54] " solid performances action adventure bit romance great music animation tarzan appeal kids kid us "                                                                               
[55] "note wrote review mulan year ago went promotional merchandising tieins prevalent release disney animated feature "                                                               
[56] " time ill just say went mcdonalds yesterday treat mcflurry tarzan cup "                                                                                                          
[57] "nuff said "                                                                                                                                                                      
