 [1] " sometimes green mile seems sooooo long "                                                                                                                                                                                                                                                                                                                                                                                                                
 [2] "indeed "                                                                                                                                                                                                                                                                                                                                                                                                                                                 
 [3] " filmmaker three hour movie ends gem dialogue expect see quoted review "                                                                                                                                                                                                                                                                                                                                                                                 
 [4] " positive note let add sometimes green mile almost good enough make us forget length "                                                                                                                                                                                                                                                                                                                                                                   
 [5] " mile question green due faded limecolored linoleum leads prison cell old sparky electric chair executions carried louisianas cold mountain penitentiary "                                                                                                                                                                                                                                                                                               
 [6] "paul edgecomb tom hanks youve got mail head guard eblock otherwise known death row "                                                                                                                                                                                                                                                                                                                                                                     
 [7] "keeping prisoners calm await carrying sentence primary responsibility "                                                                                                                                                                                                                                                                                                                                                                                  
 [8] " responsibility capably delegates guards watch insisting talk convicts instead yelling "                                                                                                                                                                                                                                                                                                                                                                 
 [9] " practice leads unusual camaraderie guards men behind bars "                                                                                                                                                                                                                                                                                                                                                                                             
[10] " charge comes one john coffey michael clarke duncan armageddon seven foot tall gentle giant convicted rape murder two young girls "                                                                                                                                                                                                                                                                                                                      
[11] "immediately paul senses something different prisoner "                                                                                                                                                                                                                                                                                                                                                                                                   
[12] "perhaps way asked night light frightened dark "                                                                                                                                                                                                                                                                                                                                                                                                          
[13] " perhaps mystical healing powers demonstrates takes back pauls bladder infection thereby restoring health "                                                                                                                                                                                                                                                                                                                                              
[14] "based steven kings serialized novel green mile offer characters stories told eduard delacroix michael jeter patch adams frail cajun convict befriends trains mouse circus tricks percy wetmore doug hutchison time kill young sadistic guard sitting transfer lucrative position yet see prisoner fry close hal moores james cromwell babe pig city compassionate warden despite executions hes witnessed death never loomed large wife diagnosed tumor "
[15] " mr hanks everyman performance center film gives anchor hold interest minutes performances supporting cast worth noting "                                                                                                                                                                                                                                                                                                                                
[16] " involved credible work respective roles especially mr duncan turns impressive fully realized characterization "                                                                                                                                                                                                                                                                                                                                         
[17] " story credible "                                                                                                                                                                                                                                                                                                                                                                                                                                        
[18] "writerdirector frank darabont shawshank redemption crafted flawed fantasyallegory sorts one spiritualistic spiritual relying preternatural mysticism rather genuine godly spiritual power "                                                                                                                                                                                                                                                              
[19] "mr darabont also overplays hand considerably manipulation affection towards association characters "                                                                                                                                                                                                                                                                                                                                                     
[20] " accidental omission first two inmates walked green mile punished crimes never disclosed "                                                                                                                                                                                                                                                                                                                                                               
[21] " knowing reason condemned convicts presence eblock audience never gets sense justice carried making death penalty appear cruel unwarranted "                                                                                                                                                                                                                                                                                                             
[22] " especially true gruesome depiction second execution horribly botched "                                                                                                                                                                                                                                                                                                                                                                                  
[23] "much also made coffeys christlike ability heal unlike numerous healings recorded scriptures coffeys powers shrouded mystery taking feel circus trick coupled voodoolike feel pain transference "                                                                                                                                                                                                                                                         
[24] " contrast mystery associated healing god "                                                                                                                                                                                                                                                                                                                                                                                                               
[25] " genuine gifts healing listed corinthians just one nine manifestations holy spirit can operated spiritually instructed man woman accordance knowledge wisdom god "                                                                                                                                                                                                                                                                                       
[26] "true spiritual healing exceptions requires committed believing healer well one healed "                                                                                                                                                                                                                                                                                                                                                                  
[27] " believing comes shrouded secrets mysticism revealed word god "                                                                                                                                                                                                                                                                                                                                                                                          
