 [1] " swear seen edge "                                                                                                           
 [2] " fact reminded bear river wild various films mixed entirely different film "                                                 
 [3] "however edge done something action films add heart characters like plot "                                                    
 [4] " edge draws many suspenseful moments cliched scenes say peacemaker "                                                         
 [5] "unfortunately overused moments can pretty much guess outcome film "                                                          
 [6] " leave screenwriter david mamet add humor surprises mess head "                                                              
 [7] "one surprise particular left smiling just mamet actually guts add script "                                                   
 [8] "action films dime dozen hollywood somewhat successful entertaining us lack one thing make respected genre intelligence "     
 [9] "even horror films learned genre probably least respected "                                                                   
[10] " river wild one best actionsuspense films seen s "                                                                           
[11] " intelligence screenplay suspense drawn realistic characters nearly unmatched day "                                          
[12] " edge intelligence smart characters time lack originality downfall "                                                         
[13] " must admit suspenseful original third half first hour half riddled cliches plot holes "                                     
[14] " example final act saving film instead way around lost world "                                                               
[15] " screenplay maintained final thirty minutes intensity become great action film use term loosely "                            
[16] " edge pretty much survivalofthefittest film "                                                                                
[17] " taking screams lead edge makes fun genres cliches uses though quite effectively "                                           
[18] "charles morse anthony hopkins main character rich intelligent man wonders accumulation knowledge brought "                   
[19] " dont immediately care main character "                                                                                      
[20] "instead like bob alec baldwin photographer going take pictures charles wife mickey elle macpherson wilderness "              
[21] " board plane head cabin somewhere arctic "                                                                                   
[22] "charles birthday day receives gold watch wife pocket knife bob "                                                             
[23] " action films go items importance rest story quite bit first expect "                                                        
[24] "soon however bob wants find native shoot pictures personality "                                                              
[25] "charles bob bobs assistant steve harold perrineau pilot head find shown previews hit flock birds flying south winter "       
[26] " plane goes pilot killed three left survive wilderness "                                                                     
[27] "director lee tamahori aware silly plot follow therefore create original ways approach situations "                           
[28] " succeeds often enough us enjoy film "                                                                                       
[29] "take instance entire manhunting bear plot "                                                                                  
[30] " done many times films different animals even bears "                                                                        
[31] " given charles intelligence bobs uncertainty many cliches given fresh twists "                                               
[32] "even charles seems seen action films "                                                                                       
[33] " favorite line film comes charles people die wilderness didnt one thing save life "                                          
[34] "thinking "                                                                                                                   
[35] "despite predictability main plot subplot develops late film took surprise made smile realized everything isnt seems anymore "
[36] " write cautiously reveal surprise instead will avoid entirely "                                                              
[37] " first twothirds edge many humorous moments push along charles survival techniques seem possible even making fire ice "      
[38] "tamahori able create lot suspense stalking bear whenever bear present characters lose sensibility "                          
[39] " always wondered characters films walk log get across water "                                                                
[40] " intelligent person crawl across "                                                                                           
[41] " guess getting chased bear makes thought process turn "                                                                      
[42] "thankfully already begun care characters let small detail slide "                                                            
[43] " technical details awkward nice stitching done fur coat charles bob make get thread needles "                                
[44] " acting film highly average film nature borders phenomenal "                                                                 
[45] "anthony hopkins gives terrific performance creating likeable layered character since remains day "                           
[46] "hopkins usually brings greatness roles exceeds gaining audiences sympathy something definitely silence lambs "               
[47] "alec baldwin gives one best performances ever seen sure better fair game "                                                   
[48] "baldwin can good bad character succeeds way "                                                                                
[49] " can never quite guess nice vllainous character end baldwin able handle doublenatured photographer "                         
[50] "elle macpherson gives good performance albeit slight "                                                                       
[51] " isnt film much scenes handles actress model "                                                                               
[52] "harold perrineau good actor scenes nice underplayed "                                                                        
[53] " eliminated early reveal nothing saying inevitable predictable "                                                             
[54] " edge rated r graphic violence gore language "                                                                               
[55] " violence little disturbing even "                                                                                           
[56] " film nice change mindless action us used many cliches bog "                                                                 
[57] "director tamahori created smooth suspenseful action film recycled parts "                                                    
[58] "david mamets script though lot humor keep first hour afloat acting solid "                                                   
[59] " best thing script ending doesnt end normal highstrung action sequence small detail involving certain gift "                 
[60] " nice touch considering go bear "                                                                                            
[61] " way people laughed film faded black due large credit bart bear "                                                            
[62] "way go bart "                                                                                                                
