 [1] "unzipped cinematic portrait isaac mizrahi artist whose palette fabric "                                                                                                                                
 [2] "ostensibly film documentary use term requires stretching meaning "                                                                                                                                     
 [3] "many scenes appear staged great deal cuttingandpasting done editing room "                                                                                                                             
 [4] " cinema verite effect conceit genuine spontaneity premium everyone aware playing camera especially wouldbe actresses like cindy crawford "                                                             
 [5] "director douglas keeve mizrahis lover time freely admits couldnt care less truth interested capturing spirit love isaac fashion "                                                                      
 [6] "despite violating nearly every rule legitimate documentary film making however unzipped remarkably enjoyable piece entertainment "                                                                     
 [7] " sheds little light behindthescenes world fashion industry presents fascinating incomplete picture designer mizrahi "                                                                                  
 [8] " man perfect subject kind study hes funny energetic eminently quotable "                                                                                                                               
 [9] " unusual views just everything fashion women wanting look like cows mary tyler moore jackie kennedy shaped country style almost impossible style nowadays without right dogs "                         
[10] "unzipped also gives glimpse creative process mizrahi turns idea dress "                                                                                                                                
[11] " almost certainly different anyone imagine "                                                                                                                                                           
[12] " designer draws variety sources look including nanook north old bette davis movies enlists aid ouija board help form collection "                                                                      
[13] " particular unzipped traces mizrahis development fall line inception spring final fashion show highlights number prominent models including cindy crawford naomi campbell kate bush linda evangelista "
[14] " technical side number interesting choices made filming unzipped "                                                                                                                                     
[15] " variety film stocks used super mm blackandwhite mm color "                                                                                                                                            
[16] " purpose beyond simple artiness stock often serves emotional key movie climactic fashion show color used show audiences perspective blackandwhite behindthe scenes sequences "                         
[17] "nevertheless viewers will put treatment "                                                                                                                                                              
[18] " unzipped isnt expose fashion industry per se keeve enough clips petulant models make viewer realize tame robert altman ready wear "                                                                   
[19] "overall however movie far mizrahi anything else viewed perspective unzipped succeed "                                                                                                                  
[20] " designer declares everything frustrating except designing clothes thats beautiful liberating fits perfectly image unzipped constructed "                                                              
