 [1] " shows america remains ambivalent nature political system "                                                                                                                                      
 [2] " major surprise j s mill victorian classic liberty make mind liberal democracy either "                                                                                                          
 [3] " americans wrought archetypal paradox exist supreme contradiction right one right majority "                                                                                                     
 [4] "small wonder hollywoods compelling movies oft struggle individualunderdog larger collective oppressive witness braveheart born fourth july rocky first blood clear present danger jfk list goes "
 [5] "theres little singapore barred access playboy penthouse line though governments long worried younger people getting americanised advocating individual rights parliamentary opposition "         
 [6] " people vs larry flynt locates political debate within greatest social taboo america sex "                                                                                                       
 [7] " pornography right exist circulate "                                                                                                                                                             
 [8] "larry flynt publisher hustler magazine thinks obviously u s congress last month threw bill curb pornography net "                                                                                
 [9] " even actions americans remain undecided "                                                                                                                                                       
[10] " oscars apparently shunned movie embarrassing sensitive livewire "                                                                                                                               
[11] " ignored actually great picture "                                                                                                                                                                
[12] "woody harrelson lead character reprises role tohellwithmorality tohellwiththelaw tohellwiththesystem antichrist last saw natural born killers "                                                  
[13] " outrageous convincing nihilistic atheist nonetheless loves exstripper wife dearly "                                                                                                             
[14] " latter played abandon conviction sensitivity courtney love real star show really snubbed academy award best actress nomination award "                                                          
[15] "edward norton plays jerky lawyer "                                                                                                                                                               
[16] " relationship harrelson love brings another great paradox superficially immoral outcasts whove coming woody gets shot becomes paralysed waist courtney dies aids "                               
[17] "gods damnation "                                                                                                                                                                                 
[18] " powerful love standing turn two leads highlight question much nihilist still moralist american context christian can love care feel just like anyone else personal level "                      
[19] "friedrich nietzsche talked atheist must uncover full consequences atheism ridding moralchristian influences "                                                                                    
[20] " go beyond good evil "                                                                                                                                                                           
[21] " great picture doubt love personally "                                                                                                                                                           
[22] " moving funny ends open american optimism blah blah "                                                                                                                                            
[23] " like admire comes fine american tradition dares raise difficult questions call doubt ideas doctrines otherwise used catchphrases "                                                              
[24] " times movies go beyond story tell reflect something hidden realities "                                                                                                                          
[25] " movie much larry flynt americans american society "                                                                                                                                             
