 [1] " foreign language film known names select number theaters showing shall dance wont seen many people "                                                                              
 [2] " thats shame funny enchanting goofy movie full laughs surprises wonderful dance sequences "                                                                                        
 [3] " surprising thing shall dance universal appeal story "                                                                                                                             
 [4] " us version works wonder really culture specific "                                                                                                                                 
 [5] "although narrated setup adds extra resonance proceedings view japanese culture ballroom dancing movie rich character appeal added layer isnt necessary understand enjoy film "     
 [6] " important unexplained japanesespecific reference may leave bit puzzled yen roughly see film see film youll know "                                                                 
 [7] " middle aged company man realizes achieving goals set life house child good marriage still doesnt translate fulfilled life "                                                       
 [8] " glimpsing melancholy beauty looking dance studio window train home work sugiyana koji yakusho decides trepidation take ballroom dance lessons order meet woman stirred something "
 [9] " finding weekly fees private lessons elegant beautiful mai tamiyo kusakari rich blood sugiyama opts groups lessons simply near "                                                   
[10] " meet players gem movie reasons joining class "                                                                                                                                    
[11] "later meet aoki dance studio naoto takenaka coworker weirdo one laugh riot highlights film "                                                                                       
[12] " story laughs touching scenes evolve movie goes along "                                                                                                                            
[13] " pleasure watch wonderful film propelled almost solely characters performances "                                                                                                   
[14] " difficult explain charms film without revealing much movie abounds little revelations subtly shape characters end one much fuller understood time leave theater "                 
[15] " one movies french seem make anymore big plot special effects gunplay tragic consequences forced examinations nature love insights nature evil "                                   
[16] "just warm funny endearing film will charm pants "                                                                                                                                  
[17] " last time left theater feeling warm fuzzy inside "                                                                                                                                
[18] " shall dance will without treacly aftertaste "                                                                                                                                     
