 [1] "moviemaking lot like general manager nfl team postsalary cap era youve got know allocate resources "                                                                                                                                                       
 [2] "every dollar spent freeagent defensive tackle one less dollar can spend linebackers safeties centers "                                                                                                                                                     
 [3] " nfl leads teams like detroit lions boast superstar running back huge contract can field five guys named herb block "                                                                                                                                      
 [4] " movies end films like spawn huge specialeffects budget enough money hire recognizable actors "                                                                                                                                                            
 [5] "jackie chan barry sanders moviemaking "                                                                                                                                                                                                                    
 [6] " spins darts across screen like sanders cutting back defensive line "                                                                                                                                                                                      
 [7] "watching jackie operation condor drives motorcycle crowded streets madrid fleeing armada pursuers identical black compact cars reminiscent sanders running daylight chicago bears hot pursuit except sanders doesnt worry rescuing runaway baby carriages "
 [8] " like lions star jackie doesnt anybody block "                                                                                                                                                                                                             
 [9] "almost every cent thats invested jackie chan movie goes stunts chan stunts rest money goes pay hospital bills "                                                                                                                                            
[10] " leaves cents pay things like directors chan directs scripts dubbing supporting characters mention hideous title sequence "                                                                                                                                
[11] " also explains movie shot odd places like morocco spain "                                                                                                                                                                                                  
[12] " chans first release country rumble bronx supposedly set new york filmed vancouver chase scenes canadian rockies clearly visible "                                                                                                                         
[13] "heck jackie doesnt even enough money haircut looks like much less personal hairstylist "                                                                                                                                                                   
[14] " condor chan plays character hes always played mixture bruce lee tim allen master kungfu slapstickfu "                                                                                                                                                     
[15] "jackie sent un retrieve cache lost nazi gold north african desert chased horde neonazi sympathizers two stereotypical arabs one things like jackie chan movies political correctness "                                                                     
[16] " joined three women little except scream jackie save us misuse firearms "                                                                                                                                                                                  
[17] " villain old nazi whose legs broken secret base carried everywhere hes pathetic evil "                                                                                                                                                                     
[18] "en route extended motorcycle chase scene hilarious fight moroccan version motel neonazis two confrontations savage natives "                                                                                                                               
[19] " secret desert base long chopsocky sequence followed films centerpiece windtunnel fight thats even better one faceoff "                                                                                                                                    
[20] " money spent wellchoreographed kungfu sequences giant kevlar hamster balls smashedup crates bananas scorpions "                                                                                                                                            
[21] "ignore gaping holes plot exactly villains legs broken escape secret nazi base didnt take key "                                                                                                                                                             
[22] "dont worry production values exactly japanese girl hitchhiking across sahara "                                                                                                                                                                             
[23] "just go see movie "                                                                                                                                                                                                                                        
[24] "operation condor pretentions raiders lost ark knockoff one wonders jackie raiders franchise blocking lawrence kazdan screenplay john williams score spielberg directing george lucas producing condor might movie "                                        
[25] "however youve got go youve got youve got jackie chan something special talent mainstream hollywood utilize "                                                                                                                                               
