 [1] "bob happy bastards quickie review "                                                                                                                             
 [2] " matrix "                                                                                                                                                       
 [3] "whats worse yk "                                                                                                                                                
 [4] " fully digital future nothing real "                                                                                                                            
 [5] "thats computer programmer neo keanu reeves slowly learns enters dangerous world matrix movie directed wachowski brothers guys behind hip thriller bound "       
 [6] " groan presence reeves lead role hold "                                                                                                                         
 [7] "theres actually story depth "                                                                                                                                   
 [8] " seems group hackers stop system matrix led bald brilliant laurence fishburne assisted carrie ann moss looks quite cool leather must say "                      
 [9] "neo reeves pretty much key player fight although really doesnt look first "                                                                                     
[10] " amateur one fisburne thinks "                                                                                                                                  
[11] "credit wachowskis putting together great story allows suspense build something special effectsladen films seem days "                                           
[12] "theres plenty effects go around course least theres backbone build well "                                                                                       
[13] "reeves surprisingly good role neo particularly fight scene fishburne comes across goofy yet great "                                                             
[14] " wish villains werent quite generic leftover gmen looking sweet scifi actioner plenty stopmotion swooping camera angles course motherlode helicopter explosion "
[15] "now wachowskis headed horror films next project "                                                                                                               
[16] "bring "                                                                                                                                                         
