 [1] "insane inspired musical alferd packer first man ever tried cannibalism america "                                                                                                                    
 [2] " story unfolds learn events led packer trey parker supposedly killing eating five men got lost accompanying mountains colorado search gold "                                                        
 [3] "throughout packer must contend evil trappers bent stealing prized horse tribe ute indians doesnt seem quite mark terrible winter storm leads eventual cannibalism "                                 
 [4] "parker obviously knows musicals well viewer also treated maddeningly catchy songs appear film accomplish postcannibal "                                                                             
 [5] "musical motion picture south park bigger longer uncut "                                                                                                                                             
 [6] "apart inherent interest seeing pre south park parker stone first effort cannibal "                                                                                                                  
 [7] "also offers pretty decent laughs "                                                                                                                                                                  
 [8] " aforementioned ute indian tribe packers group encounters definite highlight two rousing musical numbers snowmen one ends comedically deadly note "                                                 
 [9] "stones humphrey character steals show especially complaining prospect eat butt revealing whats underneath muff cap "                                                                                
[10] "jason mchughs character mr miller stand performance though offers hilarious dissenting voice proceedings "                                                                                          
[11] " mentioned parkers songs catchy "                                                                                                                                                                   
[12] "youll hard pressed get shpadoinkle day head youve heard incidentally braniff logo appears end every south park episode scored notes song "                                                          
[13] " songs youll find humming include top love ballad trappers song villains leit motif hang bastard rousing finale "                                                                                   
[14] "thankfully none songs quite embarrassing find singing public south park bigger longer uncuts songs "                                                                                                
[15] "released pickup troma studios film available videocassette dvd "                                                                                                                                    
[16] " videocassette includes intro beautiful jane jensen interview segment lloyd kaufman discussing admiration parker stone fact hired zucker brothers film turned hilarious baseketball "               
[17] " also multiple trailers upcoming troma films "                                                                                                                                                      
[18] " dvd "                                                                                                                                                                                              
[19] "well thats different story "                                                                                                                                                                        
[20] "probably one best dvd packages year potentially time cannibal "                                                                                                                                     
[21] " musical "                                                                                                                                                                                          
[22] " dvd massive achievement "                                                                                                                                                                          
[23] "presented full frame disc usual troma inclusions tour troma troma intelligence test trailers upcoming releases disc truly shines cannibal "                                                         
[24] "specific extras "                                                                                                                                                                                   
[25] " first thing must note transfer beautiful ive ever seen disc "                                                                                                                                      
[26] " picture crisp clear free noticeable artifacts "                                                                                                                                                    
[27] "add one funniest commentary tracks ever heard featuring trey parker matt stone jason mchugh dian bachar andy kemler getting drunker drunker track continues still havent scratched surface extras " 
[28] "theres also behind scenes footage shooting film clip trey matt lemmy band motorhead film terror firmer index easy location songs film finally index songs performed cast stage production cannibal "
[29] " good see film finally get treatment deserves "                                                                                                                                                     
[30] "kudos entire production staff troma aix making one entertaining dvds seen long time "                                                                                                               
