 [1] " wish say something new star wars installment see commercials isnt "                                                                                               
 [2] "george lucas expert crafting triumphant special effectsbound flicks done "                                                                                         
 [3] " first star wars film ive seen big screen course impact much greater watched three original episodes video "                                                       
 [4] " compelling phantom menace disposable story amazing visuals "                                                                                                      
 [5] "basically films plot centered around trade disputes two planets "                                                                                                  
 [6] "quigon liam neeson young apprentice obiwan kenobi ewan mcgregor set animated jarjar binks fix mess may result war "                                                
 [7] " ship breaks stranded find young boy anakin skywalker jake lloyd slave mother "                                                                                    
 [8] "quigon strongly believes anakin destined jedi greatness immediately takes wing "                                                                                   
 [9] "anakin participates heartpounding podrace one highlights film get equipment needed fix quigons ship "                                                              
[10] "however everyone doubtful entrusting future unknown slave boy "                                                                                                    
[11] "meanwhile queen amadala natalie portman frustrated wits end na ve young much responsibility shoulders "                                                            
[12] " hardly emotional scenes film even discover anakin will leaving slave mother behind begin jedi training frenzied excitement whole film wears poignancy size crumb "
[13] " prove phantom menace poorly made brilliantly made "                                                                                                               
[14] " star wars films human emotions audience can identify usually nil films pure enjoyment uplifting purposes "                                                        
[15] "despite fun watching movie phantom menace without flaws "                                                                                                          
[16] " starters illconceived moronic character jarjar binks considered threat star wars galactic society audience "                                                      
[17] " klutz "                                                                                                                                                           
[18] "george lucas clumsily tried create fun character memorable say yoda rd cpo alas efforts vain "                                                                     
[19] "secondly may good bad depending point view movies atmosphere different familiar comicbook feel previous three star wars installments "                             
[20] " due perhaps utter complexity movies plot higher level sophistication visual effects used "                                                                        
[21] " movie seems reaching epic proportions "                                                                                                                           
[22] " cant say much acting though acting never saw star wars movies anyway "                                                                                            
[23] "however absolutely pizzazz performances straightforward times stale "                                                                                              
[24] "natalie portman great presence turn queen amadala makes queen stoic unfeeling enigma "                                                                             
[25] " nothing can hold onto performance make us believe trade predicament anything importance "                                                                         
[26] "jake lloyd actor ounce evident spunk "                                                                                                                             
[27] "despite inevitable faults much enjoy movie "                                                                                                                       
[28] " heightened excitement final sequences doesnt quite surpass famous empire strikes back climactic scenes amazing edgeofyourseat fun rite "                          
[29] " film treasure look "                                                                                                                                              
[30] " visual effects astonishing time aweinspiring mouthopening eyepopping sight underwater city nothing short production design special effects genius "               
[31] " since s fifth element film drenched visual treats one "                                                                                                           
[32] " production design reminiscent fifth element previous star wars movies kubricks maybe even fritz langs classic silent metropolis "                                 
[33] "however sets original "                                                                                                                                            
[34] " original star wars movies cant even match grandeur films visuals sheer pleasure viewer gives us hope even greater things upcoming episode "                       
[35] " costumes remarkable jeanpaul gaultier written "                                                                                                                   
[36] "whether queen amadalas gigantic wardrobe complete goldembroidery feathers jedis simple brown uniforms costume designer fused talent outrageousness "               
[37] " costumes one true delights watching movie "                                                                                                                       
[38] " john williams score dont think hes done one complex powerful since cant even remember "                                                                           
[39] " epic schindlers list score thrilling zestful jaws "                                                                                                               
[40] " includes bare bones music previous three films williams added made music much intense moving "                                                                    
[41] " overwhelming hoopla circled movie one might come high expectations disappointed "                                                                                 
[42] " little hate film accomplished skillfully made flick "                                                                                                             
[43] " best fun film best bigbudget film today definitely "                                                                                                              
