 [1] "frequency n "                                                                                                                                                                  
 [2] " number times specified phenomenon occurs within specified interval number repetitions complete sequence values periodic function per unit variation independent variable etc "
 [3] "dont worry "                                                                                                                                                                   
 [4] " watching thriller frequency wont know heck frequency means "                                                                                                                  
 [5] " premise although may sound complex basic big screen "                                                                                                                         
 [6] " new york cop john jim caviezel finds radio house allows communicate new york firefighter father frank dennis quaid died thirty years ago "                                    
 [7] "immediately john warns father will die trying stop fire abandoned warehouse "                                                                                                  
 [8] " frank takes advice survives accident wasnt supposed two eventually realize changing one moment past created whole new future serial killer murders johns mother nine women "  
 [9] " now john frank use special connection save thirty years ago make present time better place "                                                                                  
[10] " told wasnt confusing "                                                                                                                                                        
[11] "overall pleased frequency "                                                                                                                                                    
[12] " occasional sappy moments perfectly synchronized suspenseful serial killer scenes "                                                                                            
[13] " usually dont buy cheesy love dad segments movies one surprisingly satisfied "                                                                                                 
[14] "maybe plot creative universal believed people act talking dead relative "                                                                                                      
[15] "frequencys creepy premise left thinking film ended "                                                                                                                           
[16] " "                                                                                                                                                                             
[17] " help family save historical figure assasinated "                                                                                                                              
[18] " stop kids shooting kids "                                                                                                                                                     
[19] " buy stock yahoo "                                                                                                                                                             
[20] " character film latter humorous consequences "                                                                                                                                 
[21] "frequency also reminded fantastic back future "                                                                                                                                
[22] " share change past slightly youll change future heavily warning "                                                                                                              
[23] " changes present past different newspaper headlines people disappearing reappearing photographs similar "                                                                      
[24] " also wonderful feelgood family films can attract number generations "                                                                                                         
[25] " difference worth noting frequencys final scene doesnt set possibility lucrative sequel already making "                                                                       
[26] " problems film though "                                                                                                                                                        
[27] "first major flaw story towards end somewhat distracting email seen movie want know think "                                                                                     
[28] " plot must confused even filmmakers frequently pun intended switch telling story "                                                                                             
[29] "another problem supporting cast including noah emmerich andre braugher underused "                                                                                             
[30] " film enough aforementioned actors steal every scene "                                                                                                                         
[31] "frequency pleasant surprise audience saw cheered end "                                                                                                                         
[32] "even know going happen think preview ruined movie like almost check movie "                                                                                                    
[33] " may surprised well "                                                                                                                                                          
