 [1] " extraordinary year australian films "                                                                                                                                                                                                                                           
 [2] " shine just scooped pool australian film institute awards picking best film best actor best director etc can add gritty life anguish courage friendship group male prisoners hivpositive section jail love catastrophes low budget gem straight gay love near university campus "
 [3] " cant recall year rich varied celluloid library unleashed australia "                                                                                                                                                                                                            
 [4] " shine one bookend "                                                                                                                                                                                                                                                             
 [5] "stand one dead heart "                                                                                                                                                                                                                                                           
 [6] " opening credits theme division established "                                                                                                                                                                                                                                    
 [7] " cast credits clear distinct lines separating first last names "                                                                                                                                                                                                                 
 [8] "bryan brown "                                                                                                                                                                                                                                                                    
 [9] " desert settlement hundreds kilometres nearest town uneasy calm local aboriginals handful white settlers live nearby "                                                                                                                                                           
[10] " local police officer task enforcing white mans justice aboriginals "                                                                                                                                                                                                            
[11] " people proud year heritage behind "                                                                                                                                                                                                                                             
[12] "naturally includes system justice key payback "                                                                                                                                                                                                                                  
[13] " eye eye "                                                                                                                                                                                                                                                                       
[14] "revenge "                                                                                                                                                                                                                                                                        
[15] "usually extracted spearing recipients thigh "                                                                                                                                                                                                                                    
[16] "brown officer manages quite well keep balance "                                                                                                                                                                                                                                  
[17] " admits bend rules bit including actively encouraging least one brutal payback "                                                                                                                                                                                                 
[18] " warned scene near start squeamish "                                                                                                                                                                                                                                             
[19] " local priest aboriginal white fellas church foot either side line "                                                                                                                                                                                                             
[20] " figuratively literally camps "                                                                                                                                                                                                                                                  
[21] "ernie dingo brings great deal understanding role man middle "                                                                                                                                                                                                                    
[22] " part churchman part politician "                                                                                                                                                                                                                                                
[23] "however tension like heat flies dust always "                                                                                                                                                                                                                                    
[24] "whilst husband local teacher church white lady kate milliken aborginal friend tony pedersen gone hills "                                                                                                                                                                         
[25] " takes sacred site even today strictly menonly "                                                                                                                                                                                                                                 
[26] " appears know "                                                                                                                                                                                                                                                                  
[27] "tony tells special place initiation place "                                                                                                                                                                                                                                      
[28] " makes love surrounded ancient rock art "                                                                                                                                                                                                                                        
[29] " community finds sacrilegious act payback time "                                                                                                                                                                                                                                 
[30] " fuse lit brittle interracial peace shattered "                                                                                                                                                                                                                                  
[31] "everyone affected fall "                                                                                                                                                                                                                                                         
[32] " say give away details finely crafted film "                                                                                                                                                                                                                                     
[33] "suffice say rewarding experience "                                                                                                                                                                                                                                               
[34] "bryan brown acting coproducing pivotal character "                                                                                                                                                                                                                               
[35] " officer real human therefore flawed "                                                                                                                                                                                                                                           
[36] "brown comments expects audiences feel warmth towards man suddenly feel angry "                                                                                                                                                                                                   
[37] " wasnt long ago visited central australia ayers rock uluru alice springs first time "                                                                                                                                                                                            
[38] " widescreen cinematography shows dead heart australia way captures vicious beauty never deteriorates moving slide show gorgeous background dominates pesky actors foreground "                                                                                                   
[39] " cultural clash provided thesis many film western birdcage "                                                                                                                                                                                                                     
[40] " least three excellent australian films covered aboriginal people line anglosaxon invaders jedda chant jimmie blacksmith last wave "                                                                                                                                             
[41] " year race debate reared australia nourishing see intelligent nonjudgemental film dead heart "                                                                                                                                                                                   
[42] " aboriginal priest best sums "                                                                                                                                                                                                                                                   
[43] " asked say black fella white fella "                                                                                                                                                                                                                                             
