 [1] "aliens well movie "                                                                                                        
 [2] "computer generated aliens "                                                                                                
 [3] "ok movie just computer generated aliens "                                                                                  
 [4] " computer generated aliens secret organization known mib "                                                                 
 [5] " one wasnt green running around exist known "                                                                              
 [6] " computer graphics movie spectacular make want believe aliens like ones depicted exits "                                   
 [7] "since seeing movie agree concede denis rodman alien simply "                                                               
 [8] "well seriousness aliens created monster variety also soft squishy cuddly kind "                                            
 [9] "just adds something lighter note movie become dark "                                                                       
[10] "along aliens comes humor pretty decent way "                                                                               
[11] "j well soon j smart ass cop played will smith runs thinks wouldbe villain gets attention mib k particular "                
[12] "k aims recruit poor j whole point movie "                                                                                  
[13] " main duty mib police extra terrestrials earth chosen home refuge "                                                        
[14] "thats also main point movie protect earth scum galaxy "                                                                    
[15] " scum space awfully bad just right nasty "                                                                                 
[16] "color commentary abounds forced deal alien scum none will smith tommy lee jones deliver punch "                            
[17] " dialogue witty say least "                                                                                                
[18] " wittiness lets movie flow well scene scene developing characters extent needed movie "                                    
[19] "tommy lee jones k will smith j provide action comedy beautifully "                                                         
[20] " characters play dont seem wrong way performance "                                                                         
[21] " say k amusing j whats one without "                                                                                       
[22] " roles complemented well script seemed written two actors "                                                                
[23] " story also goes deep enough provide proper background audience totally clueless "                                         
[24] "altogether good performances put cast director blended everything marvelously necessary special effects create good movie "
[25] " movie well worth seeing lighthearted witty humor "                                                                        
[26] " movies good things also bad things "                                                                                      
[27] " character development movie grand didnt need "                                                                            
[28] " character development development alien characters might added quite considerable movie "                                 
[29] "especially evil alien need work "                                                                                          
[30] "though worked movie proposed rather shallow witty comedy "                                                                 
[31] " achieved rather well interesting commentary observations "                                                                
[32] " movie worth view keep mind movie fond will smiths form humor wouldnt go "                                                 
[33] "originally written original release "                                                                                      
[34] "totally rewritten december "                                                                                               
