 [1] " chance create genetically perfect child "                                                                                                                                                                                                                                                     
 [2] " gattaca film presents future society answered yes question ponders actually right decision "                                                                                                                                                                                                  
 [3] " gattaca came couple months following first genetically engineered creature lovable dolly sheep mind film becomes frightening "                                                                                                                                                                
 [4] " way realm genetics heading may take couple decades future gattaca presents becomes true "                                                                                                                                                                                                     
 [5] "contrary misleading trailers gattaca scifi thriller way theres lots murder hitchcockian suspense chase scenes "                                                                                                                                                                                
 [6] " quiet sad film intelligent theories "                                                                                                                                                                                                                                                         
 [7] " fact film seems like written george orwell aldous huxley latter whos novel brave new world featured genetically engineered children "                                                                                                                                                         
 [8] " film may likely become cult hit people frightened promise shallow utopia exactly gattaca presents main reason dug much "                                                                                                                                                                      
 [9] " story revolves around genetically insufficient vincent freeman ethan hawke man high hopes chance heart problems prospected life span around years "                                                                                                                                           
[10] " child put threats genetics younger genetically perfect brother anton loren dean promised whatever heart desired "                                                                                                                                                                             
[11] "vincent yearns astronaut gets job giant space company janitor ernest borgnine plays boss "                                                                                                                                                                                                     
[12] " one day finds probably possible desires can come true form business deal brought black market geneticist something german wings tony shalhoub like hundreds cameos films back men black life less ordinary whos client genetically perfect man jerome morrow jude law unfortunately crippled "
[13] "fortunately though theres record accident hes willing give someone else life "                                                                                                                                                                                                                 
[14] "since vincent looks bit like "                                                                                                                                                                                                                                                                 
[15] " couple alterations minor really major donned life jerome job "                                                                                                                                                                                                                                
[16] " meets genetically imperfect woman irene uma thurman whos genetically perfect real life anyway hee hee two begin kind relationship albeit shallow one since romance deemed great mans stats "                                                                                                  
[17] "however murder highlevel worker office killed one vincentjeromes eyelashes found anal retentive investigators headed semiwily inspector hugo alan arkin none vincents long lost brother anton hasnt seen since teenagers "                                                                     
[18] " know vincentjerome didnt older picture posted everywhere vincentjeromes trouble also real jerome whos much "                                                                                                                                                                                  
[19] "however isnt many big suspense set pieces actually blessing tossed film lose message descend just scifi thriller la william gibson "                                                                                                                                                           
[20] " suspense film comes idea vincent jerome can easily captured just dropping hair dead skin "                                                                                                                                                                                                    
[21] " several scenes pretty frightening big distractions point film much dismay commercial audiences "                                                                                                                                                                                              
[22] " actually portrayed lack life utopian society created "                                                                                                                                                                                                                                        
[23] "irene real spunk life rather amazed sheer beauty sunrise rather genetically perfect people "                                                                                                                                                                                                   
[24] " genetically flawless jerome actuality bitter man claiming accident really accident "                                                                                                                                                                                                          
[25] " jerome done fool system giving man yearns better things chance ending shocking definite work dystopian propaganda doesnt ending works kind "                                                                                                                                                  
[26] " production design film probably best ive seen year stunning pleasing eye still cold "                                                                                                                                                                                                         
[27] "since genetics ruled chance improvement world cooled state inhumanity sets echo sense shallow misery "                                                                                                                                                                                         
[28] " sequence highlevel workers jobs kind gilliamesque feel showing nightmare slipping routine zombielike life "                                                                                                                                                                                   
[29] " ability perfect people left humanity cold generally unhappy "                                                                                                                                                                                                                                 
[30] " acting everyone great thurman giving wonderfully cold performance hawke creating character beaten system found new sense optimism bitter man willing give anyway interesting pointless fact uma ethan started dating film currently pregnant child "                                          
[31] " best performance belongs jude law steals every scene hes creates character filled pessimism horrible burden placed burden "                                                                                                                                                                   
[32] " think people generally tempted fact genetics can actually create perfection child whether actually act temptation something im sure "                                                                                                                                                         
[33] " gattaca warns us go farther chiefly well create world elitism elite shallow unhappy bitter angry lesser people "                                                                                                                                                                              
[34] " see possible future featuring fingered piano player well folks just creeps "                                                                                                                                                                                                                  
