 [1] "jamaica hot vacation spot "                                                                                                                                                                      
 [2] " exchange rate encourages delusions wealth approximately jamaican dollars one american sea brilliant blue air warm lacks humidity "                                                              
 [3] " tourism unfortunately jamaicas biggest trade foreigners enter leave sense relaxation "                                                                                                          
 [4] "life debt takes brassy look life inside impoverished country "                                                                                                                                   
 [5] " normal documentaries take sally struthers approach underlying scenes starving children tearful music film guides viewer sarcastic voiceover brings troubles home without begging tears surface "
 [6] " voiceover written acclaimed author jamaica kincaid "                                                                                                                                            
 [7] " guides audience along tourists journey story native inhabitants "                                                                                                                               
 [8] "instead telling already seeing screen quips dont see happens flush toilet "                                                                                                                      
 [9] " engages viewer see think devastation instead merely told "                                                                                                                                      
[10] " strong sparse storytelling approach runs throughout film "                                                                                                                                      
[11] "stephanie black also intelligent chooses disclose problems faced locals "                                                                                                                        
[12] " isnt just another talking head show people moaning horrible lot life "                                                                                                                          
[13] "people interviewed sectors occupation field factory well social theorists banking organizations continue invest country "                                                                        
[14] " variety discussion perpetuates compelling internal dialogue viewer whether seeing jamaica first time "                                                                                          
[15] " course can expected united states slammed owing involvement international monetary fund world bank "                                                                                            
[16] "officials look moronic explain plans jamaicas economy will help country back feet willing follow advice word word "                                                                              
[17] " next moment see initiatives failed usually due imports cheaper local labor whether soil appropriate next agricultural trend u s forcing citizens "                                              
[18] "admittedly back forth businessminded organizations failures produce gets repetitive also drives home impact ignorance can sides international argument "                                         
[19] " jamaica isnt united states documentary accuse u s sole perpetrator grief "                                                                                                                      
[20] " anything begs better understanding nature jamaican society stepping change based foreign regulations "                                                                                          
