 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                               
 [2] " forewarned "                                                                                                                                                                                                                                                                                                      
 [3] "among fanatical ticker tapeworshipping friends theres one happens share philosophy espoused central character darren aronofskys darkly original pi entire stock market can reduced nothing series patterns analysis will produce information accurately forecast future behaviour "                                
 [4] " example mentality involved stock price goes like like sharply way will go way "                                                                                                                                                                                                                                   
 [5] " freely admit know less nothing market knowledge check prices good prices bad time least hence really couldnt comment authority always nonetheless struck incredibly naive oversimplification astonishingly complex system besides simple doubt somebody wouldve already figured "                                 
 [6] " difference case colleague otherwise assuredly realistic individual truly believes valid forecaster pi uses ideology device investigate characters psychosis "                                                                                                                                                     
 [7] " also vastly convincing argument "                                                                                                                                                                                                                                                                                 
 [8] " mathematics language universe insists genius protagonist maximillian cohen sean gullette cool mantralike voiceover repeats throughout picture "                                                                                                                                                                   
 [9] "since nature can expressed numbers patterns everywhere nature reasons eminent logic finding patterns will allow predict anything ups downs stock market many games yankees will win year flavour jam im going put toast tomorrow morning "                                                                         
[10] "obsessed finding proverbial key universe max lives paranoid selfimposed solitude seedy nyc chinatown apartment singlemindedly toiling away monstrous homemade computer system "                                                                                                                                    
[11] "sullenly withdrawn plauged debilitating migraines elusive pursuit mysterious digit number machine spits one day driving madness "                                                                                                                                                                                  
[12] " story basically eccentricity clever astute eccentricity perceptively zeroing modern mistrust mathematical reductionism age dominant societal phobia ones individualism replaced series numeric identifiers maxs allconsuming penchent numbers creates lingering unsettling mood "                                 
[13] " helps matters hes particularly likable protagonist "                                                                                                                                                                                                                                                              
[14] " attempts friendliness neighbours curtly rebuffed max spindly neuroticlooking individual hasnt time indulge pleasantries "                                                                                                                                                                                         
[15] " film puts lead character front center mr gullette appears virtually every scene pi takes refreshing effective approach avoiding conventional aesthetics ambivalence max much avidly rooting triumph moment epiphany following plot sense mixed dread morbid fascination disturbing journey quest "                
[16] "still care maxs fate "                                                                                                                                                                                                                                                                                             
[17] "teetering edge dementia winds pursued two different groups want pick brain fronted deliciously perky resolutely cheerful representatives inevitably duplictious intentions "                                                                                                                                       
[18] " know films paranoia dominant element see truman shows laura linney character matter real life always ones never stop smiling overly friendly ones wary "                                                                                                                                                          
[19] "pi film addresses patterns intentionally adheres identifiable pattern cycle headache scene important revelation bit plot development pillpopping montage hallucinatory nightmare decidedly cronenbergesque undertones directors equally adept bridging unsettling concepts bodythemed horror nosebleeding reality "
[20] " repetitiveness far tedious effectively maddening anything picture aims get skins take events maxs claustrophobic perspective "                                                                                                                                                                                    
[21] " regard wildly succeeds due mr aronofskys striking direction "                                                                                                                                                                                                                                                     
[22] " rarity film completely immerses protagonists warped perspective surrounding high contrast blackandwhite cinematography combined constant usage extreme closeups lend heightened sense paranoia proceedings "                                                                                                      
[23] " scenes stark composition conjunction lumbering approach mr gullette make character curiously resemble latterday max schreck nosferatu "                                                                                                                                                                           
[24] "using savage jittery lensing rapid cuts create sense disorientation picture often dizzying behold maxs effective isolationism emphasized shots socalled snorri cam keep plain focus environment races blurred bursts "                                                                                             
[25] "pis raw aggressive visuals reminiscent david lynchs early work particular eraserhead "                                                                                                                                                                                                                             
[26] " films sinister tone splashes onto screen immediately dazzling opening credit sequence ably backed sly electronic score clint mansell gradually increases intensity "                                                                                                                                              
[27] "still amidst kafkaesque qualities overall dispassionate mood pi occasionally display sense humour "                                                                                                                                                                                                                
[28] " one point marcy dawson pamela hart great fun entices max offer invaluable treasure oneofakind "                                                                                                                                                                                                                   
[29] "computer chip "                                                                                                                                                                                                                                                                                                    
[30] " isnt beautiful coos "                                                                                                                                                                                                                                                                                             
[31] " showcase mr aronofskys technical virtuosity made since gone capture acclaim sundance film festival pi intriguingly cerebral story ironically perhaps purely visceral film year "                                                                                                                                  
