 [1] "deep rising one movies "                                                                                                                                                                                 
 [2] " kind movie serves purpose except entertain us "                                                                                                                                                         
 [3] " ask us think important questions like life planets possibility god screw says boldly lets see computer generated monsters rip decapitate generally cause irreparable booboos bunch little known actors "
 [4] "heh "                                                                                                                                                                                                    
 [5] " wacky monsters gotta love em "                                                                                                                                                                          
 [6] " course since can rent thousand b movies kind story hollywood must give little extra oumph get people theaters "                                                                                         
 [7] " deep rising fails good thing "                                                                                                                                                                          
 [8] "confused "                                                                                                                                                                                               
 [9] "let explain "                                                                                                                                                                                            
[10] "despite flashy effects big explosions deep rising still heart good ol b movie "                                                                                                                          
[11] "luckily good b movie "                                                                                                                                                                                   
[12] " worst cliches movie history b movies bread butter "                                                                                                                                                     
[13] "therefore things destroy serious movie actually help us good time watching movie lower calibre "                                                                                                         
[14] " course know theres big slimy creature behind door one person will wander picked said monster always know persons person will make alive "                                                               
[15] " just dont know horrible will "                                                                                                                                                                          
[16] " went see deep rising expections low tolerance bad dialogue high "                                                                                                                                       
[17] "imagine surprise discover deep rising actually well pretty darn funny times "                                                                                                                            
[18] " funny b movie "                                                                                                                                                                                         
[19] "well thats new "                                                                                                                                                                                         
[20] " flicks supposed make us laugh "                                                                                                                                                                         
[21] " except unintended laughs "                                                                                                                                                                              
[22] " know treat williams wes studi famke jansen appear big screen "                                                                                                                                          
[23] "hey know guys gal couple movies "                                                                                                                                                                        
[24] "cool "                                                                                                                                                                                                   
[25] "familiar faces "                                                                                                                                                                                         
[26] " far good "                                                                                                                                                                                              
[27] " man treat hero hell live "                                                                                                                                                                              
[28] "wes staple b movies token victim "                                                                                                                                                                       
[29] " know hell buy farm will take creeps way "                                                                                                                                                               
[30] "famke babe nuff said "                                                                                                                                                                                   
[31] " also guy glasses guy glasses always dies black person b movie buffs know black guy always dies never fails funny nerdy guy "                                                                            
[32] " ah "                                                                                                                                                                                                    
[33] "comic relief "                                                                                                                                                                                           
[34] " can possibly explain kill let "                                                                                                                                                                         
[35] " live "                                                                                                                                                                                                  
[36] " first fifteen minutes felt right home "                                                                                                                                                                 
[37] " know root need boo gum chew "                                                                                                                                                                           
[38] " please kill "                                                                                                                                                                                           
[39] "suffice say next hour half jumped seat times went ewwww dozen times nearly orgasm explosions firepower heroes packing "                                                                                  
[40] "im man nottice things "                                                                                                                                                                                  
[41] " id recommend deep rising looking good time care leave brain door "                                                                                                                                      
[42] "bring sense humor excitement "                                                                                                                                                                           
[43] " acting decent effects top rate "                                                                                                                                                                        
[44] " best describe "                                                                                                                                                                                         
[45] "put together jet ski scene hard rain bug attacks starship troopers couple james bond like stunts scenes friday thirteenth freddy keep screaming dont go hes behind end deep rising "                     
[46] " creepy crawly goodness tight tshirts major firepower need go bathroom every fifteen minutes seing water "                                                                                               
