 [1] " hypnotized man believes ghost house "                                                                                                                             
 [2] " review "                                                                                                                                                          
 [3] "two lowkey summer horror films become surprise financial successes year blair witch project sixth sense "                                                          
 [4] " made well million north america based combination strong word mouth clever advertising "                                                                          
 [5] " films box office take based primarily quality stir echoes join blair sense grossing far money expected scary scarier two "                                        
 [6] "writerdirector david koepp given artisan entertainment folks distributed blair witch second creepy hit "                                                           
 [7] " story gets going tom witzky bacon average bluecollar dad gets hypnotized wife maggies erbe sister lisa douglas party "                                            
 [8] " hypnosis goes expected partygoers triggers something toms head "                                                                                                  
 [9] "things begin change around blinking red lights let strange hum example fights stay control senses "                                                                
[10] " experiences take tom maggie son jake cope tom thinks might answers dark path will scare disturb "                                                                 
[11] "david koepp keeps action localized majority action takes place toms house just street "                                                                            
[12] " keeping things home koepp able proceed without resort clumsy segues montages driving roads move one city another etc "                                            
[13] "unfortunately dread spookiness stir echoes frequently interrupted moments levity "                                                                                 
[14] "humour can take tension away scene faster shoddy special effect poor acting "                                                                                      
[15] "several tense moments become completely diffused misplaced jokes "                                                                                                 
[16] "also couple plot developments left unresolved though mention give much away "                                                                                      
[17] "kevin bacon handles duel task playing everyman man losing sanity admirably "                                                                                       
[18] " total lack understanding happening believable reactions wife maggie "                                                                                             
[19] "kathryn erbe given role meatier better written wife can longer handle husband parts "                                                                              
[20] " still supporting role maggie moving watches husband son enter calls private club im invited whisper things day long "                                             
[21] " jake zachary cope equals performance haley joel osment sixth sense gets less screen time "                                                                        
[22] " children manage trick making audience creeped apparent acceptance way things "                                                                                    
[23] "fans blair sixth sense will almost surely love stir echoes "                                                                                                       
[24] " combines dread blair creepy closedin feel thanks cinematographer fred murphy great performances whole cast specifically bacon give fall first genuine scary film "
[25] " let unneeded funny bits tweaked plot bit one years best "                                                                                                         
