 [1] " man island one character quotes john donne apt pupil effectively summarizing movies themes "                                                                                             
 [2] " hardly great film singers ambitious adaptation kings short story challenging nonetheless perhaps shocking aspect inclement psychological thriller major studio got behind "              
 [3] "apt pupil bleak picture destined misunderstood masses "                                                                                                                                   
 [4] " wonderbred high school honours student todd bowden renfro conducts extracurricular investigation kurt dussander nazi war criminal fearfully fled berlin s never heard "                  
 [5] "bowden suspects arthur denker mckellan lonely german senior citizen lives nearby actually pseudonymous dussandermuch research dusting fingerprints proves young todds theory "            
 [6] "bowden strikes deal dussander exchange revealing identity dussander must satisfy bowdens intense curiosity recounting atrocities holocaust nazi point view "                              
 [7] " stories hears keep todd night haunt daydreams like bystander traffic accident todds desire gory details overrides repulsion "                                                            
 [8] "bowden revives dussander feelings dormant since end wwii "                                                                                                                                
 [9] "marching mock uniform around kitchen wholly cathartic dussander leads torture cat torment student among things "                                                                          
[10] "bowden taken hateful qualities kills birds doodles swastikas notebook engages veteran endless game oneupmanship "                                                                         
[11] "dussander stands lose freedom bowden credibilityin effect postsecondary school future "                                                                                                   
[12] " winds fairly unpredictable unsettling conclusion one requires leaps faith audience yet satisfying source materials excessive climax "                                                    
[13] "singer yet get keyser s ze system "                                                                                                                                                       
[14] " usual suspects apt pupil evil masquerading innocence verbals tics todds goldenboy reputation plausible ruses showcase morally bankrupt antiheroes telling truth option achieve goals "   
[15] "apt pupil richer film usual suspects movie famous popular partly plot machinations germane outcomethere way see ending coming hoodwink anyway "                                           
[16] "thankfully singer gotten usual suspects filmschoolish geek theatrics system "                                                                                                             
[17] " scenes apt pupil feel overdirected andor obvious dream sequences extraneous majority film subduedand singers handling violent scenes boldly restrained film murderer murdererintraining "
[18] "mckellans renfros performances contribute enormously overall success film people will focus british stage vet mckellans finelytuned realization id like single renfros daring work "      
[19] " isnt afraid play someone largely unappealing coldhearted strips character vanity something many peers wouldnt "                                                                          
[20] " can picture kieran culkin jonathan taylorthomas role "                                                                                                                                   
[21] "renfro recently charged possession cocainei hope doesnt continue path big future good movies waiting "                                                                                    
[22] " guidance counsellor edward french friend schwimmer also deserves mention "                                                                                                               
[23] " wants parent todd todds welltodo folks todd like modern kidsand onlychildrenhas mom dad wrapped around pinky finger sincerity makes apt pupils blackeningheart even apparent "           
[24] " one films ultimate questions born evil learn evil might answered french whose motives slightest bit ambiguous "                                                                          
[25] " man island indeedwe capacity make right wrong choices "                                                                                                                                  
[26] "schwimmer winningly plays one trio fascinating characters make unconventional apt pupil laudible "                                                                                        
[27] "october "                                                                                                                                                                                 
[28] " excellent collection kings stories called different seasons spawned apt pupil shawshank redemption originally titled rita hayworth shawshank redemption stand originally titled body "   
