 [1] "gothic murdermystery yarns new conceit "                                                                                                                                                                                 
 [2] " fact theyve around books film many many years "                                                                                                                                                                         
 [3] "without proper handling come oldfashioned bland outdated "                                                                                                                                                               
 [4] " gift directed sam raimi triedandtrue effort surprises little includes everything wide array suspects red herrings mansions deep south moss trees front eventual discovery waterlogged corpse found nearby pond "        
 [5] " fairly obvious killer fact predicted movie began correct preliminary suspicions "                                                                                                                                       
 [6] " film ultimately shouldnt work thanks sparkling cast fills character many memorable nuances fun simply watching people interact "                                                                                        
 [7] "annie wilson cate blanchett recently widowed mother three sons makes living giving psychic readings residents backwater southern hometown "                                                                              
 [8] " mainstay clients include valerie barksdale hilary swank severely abused husband donnie keanu reeves buddy cole giovanni ribisi unstable mechanic confused nightmares hes mysterious blue diamond somehow linked father "
 [9] " annie give readings merely money uses way seeking solace finding good everyones future "                                                                                                                                
[10] " late grandmother rosemary harris told child gift given always remember "                                                                                                                                                
[11] " annies eldest son involved fight school meets niceguy school principal wayne collins greg kinnear finds attracted "                                                                                                     
[12] " wayne engaged wealthy jessica king katie holmes annie immediately gets negative vibe "                                                                                                                                  
[13] " party best friend linda kim dickens annie stumbles upon jessica compromising position lawyer david duncan gary cole "                                                                                                   
[14] "soon jessica disappeared leaving everyone frenzy possibly happened annie starts nightmares apparitions linking jessica vicious redneck donnie barksdale pond behind home "                                               
[15] " gift may cliched sheer storytelling level performances tight direction raimi redeemed embarrassing last film s love game lift picture several notches "                                                                 
[16] "slowly enveloping viewer many intriguing characters individual plights disappearance jessica minute mark divulges movies true intentions transforms proceedings taut times frightening horrormystery "                   
[17] " center film exceptional cate blanchett s talented mr ripley turns annie wilson little runofthemill protagonist exact downtoearth realistic person valid troubles caring attitude towards around "                       
[18] "blanchett takes unextraordinary material runs giving entire film truly classy aura otherwise might "                                                                                                                     
[19] " follow every turn mesmerizing character actress "                                                                                                                                                                       
[20] "blanchett isnt bright performer ably supported one best casts year "                                                                                                                                                     
[21] " first role following oscar win s boys dont cry hilary swank excellent confused valerie seeks guidance annie scared take biggest advice leave grossly abusive donnie "                                                   
[22] " donnie keanu reeves s watcher makes utterly convincing backwoods meanie much difficult believe actor "                                                                                                                  
[23] " oftencriticized reeves whose acting abilities never best biggest compliment possibly get also one better performances given "                                                                                           
[24] "giovanni ribisi s boiler room heartbreaking mentally slow young man sees annie friend wants nothing help understand plagued bad dreams dad "                                                                             
[25] " small pivotal role sleazy jessica king katie holmes s wonder boys turned yet another stunning supporting turn "                                                                                                         
[26] " promiscuous role jessica one never played radiant scenes "                                                                                                                                                              
[27] "finally kim dickens s hollow man makes usual strong impression annies spicy best friend linda "                                                                                                                          
[28] " notable aspect gift moody atmosphere lays thickly foreboding air every scene almost suffocating "                                                                                                                       
[29] "thanks cleverly construed editing arthur coburn bob murawski successful use different eerie sounds effects good music score christopher young movie achieves scary undercurrent one filled dread "                       
[30] "helped along strong screenplay billy bob thornton tom epperson makes setting delightful cast gift rarest thrillers actually thrills offers fair share chills "                                                           
[31] " may groundbreakingly original sure entertaining ride duration running time "                                                                                                                                            
