 [1] " leave little notes pillow "                                                                                                                                     
 [2] " told million times cant stand little notes pillow "                                                                                                             
 [3] " corn flakes f u "                                                                                                                                               
 [4] " took three hours figure f u felix unger "                                                                                                                       
 [5] " frustrated oscar madison walter matthau running list complaints roommate felix unger jack lemmon odd couple "                                                   
 [6] " classic neil simon comedy based stage play suicidal felix lemmon persuaded poker friend oscar matthau stay apartment felixs wife throws files divorce "         
 [7] " hook oscar messy likes apartment way felix obsessivecompulsive neat freak "                                                                                     
 [8] " two men despite friendship instantly clash "                                                                                                                    
 [9] "movies just arent delightfully funny one "                                                                                                                       
[10] "every line neil simons dialogue flows like comedic poetry actors just perfect performances "                                                                     
[11] "lemmon best anxiety ridden felix matthau shines brightest oscar whose world invaded rearranged mostly wishes type character always enjoy identifying "           
[12] " can forget catchy score neal hefti "                                                                                                                            
[13] " best thing film testament quality writing comedy substance "                                                                                                    
[14] " two men even others throats genuinely care one another friends "                                                                                                
[15] " clash isnt cartoonish hatred displayed genuine frustration fact good friends just manage coexist "                                                              
[16] "movies nowadays take grumpy old men example just dont extra spark "                                                                                              
[17] " days just animosity sake comedy "                                                                                                                               
[18] " television series followed starring jack klugman tony randall ill admit ive never seen episode entirety neil simon even scripted sequel odd couple ii released "
[19] "neither compare comic masterpiece though "                                                                                                                       
[20] " one best comedies time easily earns spot top ten favorite films "                                                                                               
