 [1] "slavery bad "                                                                                                                                                             
 [2] " hundreds years weve finally figured one "                                                                                                                                
 [3] " almost universal belief strength weakness director steven spielbergs latest serious film "                                                                               
 [4] " late s portuguese slave ship carries cargo black men women kidnapped home africas west coast cuba sold slavery "                                                         
 [5] "fiftythree stuffed la amistad spanish word friendship new spanish owners "                                                                                                
 [6] "freeing chains senge pieh djimon hounsou renamed cinque masters leads bloody revolt "                                                                                     
 [7] " killing crew africans force remaining sailors return home think "                                                                                                        
 [8] "instead ship heads coast united states "                                                                                                                                  
 [9] " amistad boarded american naval ship revolutionaries put trial connecticut murder piracy "                                                                                
[10] " legal question becomes free men fighting justly freedom property "                                                                                                       
[11] " property belong "                                                                                                                                                        
[12] " masters "                                                                                                                                                                
[13] " spanish government "                                                                                                                                                     
[14] "salvage rights officers captured ship "                                                                                                                                   
[15] " us government "                                                                                                                                                          
[16] " defendants pawns several games "                                                                                                                                         
[17] "abolitionists theodore joadson morgan freeman lewis tappan stellan skarsgard want free tappan sees primarily means cause "                                                
[18] " lawyer roger baldwin matthew mcconaughey views case simple one property rights chance make share legal fees "                                                            
[19] "south carolina senator john c calhoun arliss howard pursues case political advancement southern states "                                                                  
[20] "president martin van buren nigel hawthorne willing force result towards political ends "                                                                                  
[21] " verdict looks free africans van buren replaces judge one sympathetic wishes "                                                                                            
[22] "even doesnt work new judge frees kidnap victims "                                                                                                                         
[23] " urging calhoun president appeals case supreme court populated majority slaveowners "                                                                                     
[24] " littleknown try finding history text book incident americas past gone darker path former president john quincy adams anthony hopkins persuaded argue case supreme court "
[25] " slavery issue easy pickins spielberg "                                                                                                                                   
[26] "much like shindlers list followed jurassic park follows lost world moral sides difficult ones choose "                                                                    
[27] "nazis slave traders treat groups others less human "                                                                                                                      
[28] " hard see bad guys "                                                                                                                                                      
[29] "without question ponder directors job difficult "                                                                                                                         
[30] " make story interesting "                                                                                                                                                 
[31] "spielberg succeeds part "                                                                                                                                                 
[32] " visual aspect film beyond reproach "                                                                                                                                     
[33] " movie falls bit subtle "                                                                                                                                                 
[34] " people tale "                                                                                                                                                            
[35] " fact cinque character fleshed "                                                                                                                                          
[36] "tappan joadson abolitionists symbols humans "                                                                                                                             
[37] "van buren weak politician nothing else "                                                                                                                                  
[38] " rest slaves barely exist dressing set "                                                                                                                                  
[39] "like many films people color almost major players white "                                                                                                                 
[40] " films salvation lies acting strength everyone involved powerful presence hounsou "                                                                                       
[41] " former models first major role winner "                                                                                                                                  
[42] "without speaking five words english conveys emotion actors thousand lines dialog "                                                                                        
[43] " standout hopkins seems making career portraying american presidents also played title role nixon "                                                                       
[44] " impassioned speech doddering old man phases rationality among best courtroom drama ever screen "                                                                         
[45] " great moments "                                                                                                                                                          
[46] "especially impressive africans struggle understand going strange land "                                                                                                   
[47] " interpretation bible based solely pictures experiences poignant "                                                                                                        
[48] " grand epic impact focused experience point view africans "                                                                                                               
[49] " humanity fight humanity made fourstar film "                                                                                                                             
[50] " michael redman written column real long time just now getting around seeing films "                                                                                      
