 [1] "youve probably heard one priest rabbi never dosage featherweight charm sprinkled keeping faith "                                                                   
 [2] " fluffy comedy thoroughly glazed sense innocuous innocence good cheer regarding two moral topics love religion romantic triangle causes two collide headon "       
 [3] " youngsters brian finn jacob schramm anna reilly inseparable trio "                                                                                                
 [4] " friendship progressed anna always compassion shower love support neither feel excluded "                                                                          
 [5] " tragedy soon struck anna forced move away "                                                                                                                       
 [6] "now adults brian edward norton jacob ben stiller hold similar contrastive jobs "                                                                                   
 [7] " likable kindhearted father brian catholic priest spry outgoing jacob acts jewish rabbi "                                                                          
 [8] " basketball court refer god squad "                                                                                                                                
 [9] " relationship field brian abides catholic principle celibacy jacob reached point finding jewish bride practically mandatory "                                      
[10] "everything changes anna jenna elfman returns new york visit childhood chums "                                                                                      
[11] "now workaholic devotes endless hours per week business find spare time reminisce brian jacob ecstatic seeing elementary school sweetheart "                        
[12] " oddball ingredients tossed one cocktail theres bound awkward romance three central characters "                                                                   
[13] "predicting outcome entirely difficult keeping faith open entertaining refreshingly relaxed travels en route point point b "                                        
[14] "edward norton emerged one finest flexibly versatile actors hollywood success story sparked critically lauded debut thriller primal fear "                          
[15] " shockingly bitter roles american history x recently david finchers vicious fight club quaint romantic comedy might seem like peculiar choice "                    
[16] " least "                                                                                                                                                           
[17] "norton slips directors chair first time keeping faith incisive resourceful approach helps add additional craft surprisingly perceptive screenplay stuart blumberg "
[18] "weighing every aspect unanimously impressive directorial debut "                                                                                                   
[19] " addition norton pushes right buttons sheepish sweetheart brian generating thoroughly likable screen presence "                                                    
[20] "stiller zipper guy theres something mary firm funny boasting fullyripened comic maturity "                                                                         
[21] "elfmans perky repetition can grow tiresome occasionally case tvs dharma greg seems perfectly rambunctious "                                                        
[22] " remaining cast members offer fine support anne bancroft jacobs animated jewish mom milos forman elderly priest quick contribute intelligent advice "              
[23] "keeping faith perfect date flick "                                                                                                                                 
[24] "though perfection word associate film general "                                                                                                                    
[25] " turbulence process liftoff numerous failed attempts establishing situation cloud projected comedy ahead "                                                         
[26] " film settle often funny always cheerful "                                                                                                                         
[27] "stiller norton elfman created three enormously lovable personalities "                                                                                             
[28] " enjoy interaction understand various dilemmas feel humbled realize everything rings perfectly true "                                                              
[29] " excluding ending acceptable seems lack charm spontaneity preceding romantic entanglements "                                                                       
[30] "nonetheless narrowly mishandled finale certainly wont wipe smile face anyone elses audience "                                                                      
[31] "keeping faith highly enjoyable romantic comedy although one observant surveying questions love rather religion "                                                   
[32] "aww hell "                                                                                                                                                         
[33] " quality quite heavensent little charmer revive faith potentially tired filmmaking genre "                                                                         
