 [1] " surprises longawaited batman movie centers caped crusader joker "                                                                                                                
 [2] " dark knight actually less screen time homicidal arch nemesis "                                                                                                                   
 [3] " can hear batfans everywhere protesting first nerve cast michael keaton batman now think can get away making second banana joker "                                                
 [4] " indeed situation altogether inappropriate intolerable fact someone warner brothers savvy cast jack nicholson role born play "                                                    
 [5] "nicholson deserves top billing receiving posters opening credits since astounding oscarworthy performance joker highlight batman "                                                
 [6] "nicholson shows inhibition shame pulls stops create joker makes cesar romero look like bozo clown romero played joker s tv series "                                               
 [7] " one hand nicholsons joker extremely funny "                                                                                                                                      
 [8] " murderous escapades manic outbursts include defacing paintings art museum invading television airwaves hilarious pirate broadcasts bring humor laughter otherwise dark film "    
 [9] " hand outwardly jovial disposition mask intense contempt mankind "                                                                                                                
[10] " jokers cruelty demented diabolical nature truly frightening sinister "                                                                                                           
[11] " guy rocker knows flaunts "                                                                                                                                                       
[12] " enough nicholson joker im sure people wondering michael keaton batman "                                                                                                          
[13] "like many outraged warner brothers announced keaton cast caped crusader "                                                                                                         
[14] " batfans need worry holy unconventional casting "                                                                                                                                 
[15] "keaton delivers "                                                                                                                                                                 
[16] " convincing tormented millionaire bruce wayne beneath hard black body armor mysterious formidable batman "                                                                        
[17] "even though screenplay halfheartedly attempts develop character keaton manages give hints inner turmoil emotional rage drive wayne don bat gear battle low life scum gotham city "
[18] "visually batman knockout nothing short triumph director tim burton production team "                                                                                              
[19] " movie successfully captures film noir look bleak gloomy atmosphere batman comic books dark knight returns killing joke "                                                         
[20] "burtons film feast eyes million budget definitely screen "                                                                                                                        
[21] " sets costumes makeup stunning worthy oscar nominations "                                                                                                                         
[22] "nicholson isnt joking boasts wait till get load "                                                                                                                                 
[23] " grimacing smile green hair purple suits orange shirts colorful outrageous "                                                                                                      
[24] "keatons wardrobe equally appropriate "                                                                                                                                            
[25] "batmans cape mask body armor make look threatening frightening invincible bringing mind adam wests campy costume tv series peter weirs outfit robocop "                           
[26] "production designer anton fursts sets wonder "                                                                                                                                    
[27] "gotham city dark foreboding almost expressionist vision new york "                                                                                                                
[28] " batcave cold bare desolate "                                                                                                                                                     
[29] " world burton furst created batman melancholy nightmare violence corruption "                                                                                                     
[30] " movies gritty bladerunnerrobocop look joy behold "                                                                                                                               
[31] " plot hand rousing "                                                                                                                                                              
[32] " screenplay snuff comparison stylized sets superb acting "                                                                                                                        
[33] " takes forever little story finally kick gear "                                                                                                                                   
[34] "batman tries walk thin line action character psychology fails give us enough either one "                                                                                         
[35] " mentioned earlier screenplay gives us plenty joker never fully establishes batmans psychological motives underpinnings "                                                         
[36] " terms action batman thrilling might expect "                                                                                                                                     
[37] "burton seems concerned visual dramatic elements story "                                                                                                                           
[38] " anything batman mood film "                                                                                                                                                      
[39] " batman may completely absorb excite will likely impress success bringing life style spirit batman comic books "                                                                  
[40] "thanks distinctive look movie like good comic book transports us another world "                                                                                                  
