 [1] "produced robert lantos stephen j roth "                                                                                                                                                                              
 [2] "directed douglas williams "                                                                                                                                                                                          
 [3] "mpaa rated though language violence medicalgrossouts sexual content id put pg "                                                                                                                                      
 [4] "though made canada overdrawn memory bank traces roots bbc school film production "                                                                                                                                   
 [5] "using part cheap computer video special effects chyron text wildlife documentary footage sets sometimes obviously faked nonetheless manages tell good enough science fiction story time youre twenty minutes hooked "
 [6] "raul julia plays aram fingal drone data processing worker novicorp whose active imagination predilection hacking gets trouble authority "                                                                            
 [7] "caught watching casablanca desk monitor fingal sentenced doppling rehabilitationhe spend fortyeight hours body baboon "                                                                                              
 [8] " exactly supposed rehabilitate anybodys guess "                                                                                                                                                                      
 [9] " happens thanks visiting schoolboys prank body temporarily misplaced mind shunted central computer keep alive can find "                                                                                             
[10] " time ticks away memory cube selfdestructs frantic search body "                                                                                                                                                     
[11] "fingal first creates virtual reality fantasy world finds theres better way hack system inside "                                                                                                                      
[12] " chaos computer technician apollonia james linda griffiths maintains contact fingal datalink manifesting several different times offer advice warnings "                                                             
[13] " course interactions interest parts grows budding romance "                                                                                                                                                          
[14] "given casablanca fingals favorite film basis fantasy world great deal movie homage casablanca "                                                                                                                      
[15] " fact humphrey bogart peter lorre characters make appearances played julia dual role louis negin respectively bar called place "                                                                                     
[16] "julias portrayal bogart passable avoids becoming schweethaat spouting parody seen cartoons "                                                                                                                         
[17] "negins peter lorre quite credible easily best peter lorre ive ever seen wasnt real thing "                                                                                                                           
[18] " two characters created fingals imagination serve aspects personality driving quest hack computer system "                                                                                                           
[19] " arent casablanca characters put appearances "                                                                                                                                                                       
[20] " sydney greenstreet character also happens around fat man alternate aspect films main villain novicorp chairman donald c moore "                                                                                     
[21] " fingals body lost fat man tries stop hacking system "                                                                                                                                                               
[22] "less salutory results "                                                                                                                                                                                              
[23] " interesting note futuristic slang words thrown left right film best goldenage science fiction tradition "                                                                                                           
[24] "words like dopple psychist computech cinema reconst apparently common use "                                                                                                                                          
[25] " people today may well laugh fourteen years pasts idea futuristic data processing clerks aspects film surprisingly perfectly keeping way think virtual reality today "                                               
[26] " cyberpunk films go may staple genre definitely recommended viewing "                                                                                                                                                
[27] " special effects primitive placing production realm lowtomediumbudget television "                                                                                                                                   
[28] " music completely electronicsynthesized fits low budget isnt really keeping genre "                                                                                                                                  
[29] "however writing quite makes "                                                                                                                                                                                        
[30] " funny moments quite little injokes one needs seen casablanca appreciate properly "                                                                                                                                  
[31] " give overdrawn memory bank "                                                                                                                                                                                        
