 [1] " stock market crashed oliver stones wall street released critical acclaim packed movie houses "                                                                                                              
 [2] "wall street lucked timing recent crash gave film resonation might though killorbekilled approach business exaggerated ideology keyed mind set quintessential reaganera businessman "                         
 [3] "stone constructed film mythical good vs evil tale relayed fastpaced milieu burgeoning stock exchange "                                                                                                       
 [4] "critics audiences lauded wall street elevating status contemporary classic "                                                                                                                                 
 [5] "im proud say will never counted one "                                                                                                                                                                        
 [6] " found wall street just axiomatic pandering majority stones output thin caricatures obvious sentiments charisma barren performance young charlie sheen "                                                     
 [7] "stone goes broke every scene said nearly works "                                                                                                                                                             
 [8] " approach tends bury purported message beneath heap good intentions "                                                                                                                                        
 [9] " directs stock exchange scenes typical hyperbolic mode people shouting phones plummeting airplane "                                                                                                          
[10] " excuse stone ratchet emotion false intensity rather explore situations really like "                                                                                                                        
[11] " feeling brokers psychologically manipulative presented boiler room rather laughably top "                                                                                                                   
[12] " guys salesmen televised judges "                                                                                                                                                                            
[13] " anything baffled many adore wall street "                                                                                                                                                                   
[14] " possible solution can muster release date "                                                                                                                                                                 
[15] " just timeliness greed good subject matter film plumped eighties decade onejoke comedy rose art form group glamorous brat packers smirked way inane high concept low result movies "                         
[16] " mind eighties will forever remembered decade proliferation bad movies bad music bad hair bad clothes "                                                                                                      
[17] "maybe stones school special set wall street viewed welcome change pace "                                                                                                                                     
[18] "boiler room equally welltimed film similarities stones piece crap "                                                                                                                                          
[19] " feature consequential fatherson relationship though boiler rooms much subtle touching "                                                                                                                     
[20] " concerned power greed yet men boiler room akin poseurs presuming big shots rather slipperysmooth heartless gordon gecko figures wall street "                                                               
[21] "boiler room message movie well though least end doesnt shove faces "                                                                                                                                         
[22] "boiler room pursuit cash degrees people will go cash "                                                                                                                                                       
[23] " said film indeed timely society wants millionaire number one prime time show every day bringing revolution prime time tv watching hasnt seen quite want millionaires want watch people become millionaires "
[24] " superjudgmental poweroriented culture desire money supersedes everything money "                                                                                                                            
[25] " seth giovanni ribisi wants easy way "                                                                                                                                                                       
[26] "hes wellintentioned college drop gets lured working illegally run brokerage firm kind sells junk stock whereupon meets others just like "                                                                    
[27] "ben affleck cast jim company headhunter struts commanding room like frat boy gordon gecko "                                                                                                                  
[28] " job influence trainees becoming enthusiastic employees giving speech subtly attacks man hood "                                                                                                              
[29] " ironic sells pups load b s theyre told dish prospective buyers "                                                                                                                                            
[30] "afflecks character obviously supposed recall alec baldwins similar character glengary glen ross proves detrimental actors performance "                                                                      
[31] "affleck shouts curses belittles rookie employees just like baldwin minus edge "                                                                                                                              
[32] " alec played scene became part spewing brutal lines "                                                                                                                                                        
[33] " comparison affleck simply looks really hammy line reading "                                                                                                                                                 
[34] " brokers approach job fervor overzealous jocks storm work like football players way big game "                                                                                                               
[35] "rap music thumps soundtrack effectively illustrating guys think intellectual gangsters "                                                                                                                     
[36] " arent rumble test man hood especially leisure time lumbering scott caan seems eager use fists minor disputes "                                                                                              
[37] " drink world along seth watch become seduced just like might "                                                                                                                                               
[38] " cautionary tales boiler room begins seducing us illustrious world profit wrongdoing smacks us consequences recklessness "                                                                                   
[39] " know story "                                                                                                                                                                                                
[40] " "                                                                                                                                                                                                           
[41] " can work told intelligence energy writer director ben younger tells "                                                                                                                                       
[42] " director please excuse french miseenscene younger much learn "                                                                                                                                              
[43] " style sitcom bland "                                                                                                                                                                                        
[44] " writing isnt "                                                                                                                                                                                              
[45] "youngers script well studied vernacular bunch dialogue like junior david mamet "                                                                                                                             
[46] "despite moderate camera work younger fills phonepitch scenes tension comes just performances tightly wound script "                                                                                          
[47] " brokers hucksters counter every customer objection gently bullying buying stock "                                                                                                                           
[48] " moments filmed like psychological action scenes tense confrontation victimizer victim isnt aware one "                                                                                                      
[49] " exception afflecks brief appearances performances truly exceptional "                                                                                                                                       
[50] "ribisi edgy looks character actor extremely potent working pale angular face eerie plaintive stare worth "                                                                                                   
[51] " conveys childlike vulnerability character seems hide corner whenever things arent going way scenes others hes ferociously cut throat "                                                                      
[52] " jekyll hyde contradiction works well movie ribisi confident just phone cowardly front authority figures including abrasive father authoritatively played ron rifkin "                                       
[53] "boiler room thankfully avoids wall streetlike histrionics salespitch sequences sales build slowly like crescendo intelligent psychological ploys "                                                           
[54] " ploys taught seth chris vin diesel kind broker alternates seths friend mentor "                                                                                                                             
[55] "diesl shines minor role "                                                                                                                                                                                    
[56] " week saw scifi opus pitch black diesel plays completely different role equally effective manner "                                                                                                           
[57] " film kind role might gone arnold schwarzenegger s boiler room kind role might gone elliot gould s "                                                                                                         
[58] "nicky katt also memorable superior broker obsessed cant "                                                                                                                                                    
[59] "nia long firms secretary lone black women amongst many white men ribisis love interest part first looks insignificant parts talented actress gets develops something interesting "                           
[60] " two make oddly likeable couple "                                                                                                                                                                            
[61] "long smart brash ribisi charmingly aloof "                                                                                                                                                                   
[62] " one point says im just lookin chocolate love "                                                                                                                                                              
[63] " terrible line ribisi delivers innocuous childlike way becomes sweetly endearing "                                                                                                                           
[64] "unfortunately towards end boiler room turns tad schmaltzy "                                                                                                                                                  
[65] " much crying hugging sorrowful stares "                                                                                                                                                                      
[66] " okay taken small doses youngers conclusion constructed series boohoo moments one following "                                                                                                                
[67] " particular misstep attempt show effect seths manipulations one poor victims "                                                                                                                               
[68] " bad idea execution lacking scenes feeling tacked spell message "                                                                                                                                            
[69] " message greed bad "                                                                                                                                                                                         
[70] "yes patently obvious boiler room conveys introducing us culture havent seen much movies disenfranchised twenty something entrepreneur "                                                                      
[71] " wall street introduce us simplistic fantasy world saints sinners "                                                                                                                                          
[72] "boiler room offers neither extreme "                                                                                                                                                                         
[73] " gives us thankful "                                                                                                                                                                                         
