 [1] "hedwig john cameron mitchell born boy named hansel east berlin "                                                                                                                              
 [2] " teen seeking half reluctantly agrees sex change operation order marry american g "                                                                                                           
 [3] "luther maurice dean wint "                                                                                                                                                                    
 [4] " operation performed hack surgeon botched angry inch thats left "                                                                                                                             
 [5] "now hedwig comes america abandoned luther forms rock band falls year old loverprot g tommy rejected later "                                                                                   
 [6] " band angry inch shadows nowfamous tommy gnosis across us revenge hedwig really search lost half hedwig angry inch "                                                                          
 [7] "first time helmer john cameron mitchell along composerlyricist stephen trask created starred acclaimed offbroadway production become movie "                                                  
 [8] " quite movie eclectic variety songs outrageous costumes sets makeup especially riveting performance mitchell title character "                                                                
 [9] "mitchell trask reinvented movie musical couple underlying story just hedwig looking "                                                                                                         
[10] " far big fan musicals "                                                                                                                                                                       
[11] "sure exceptions like bob fosses jazz cabaret part just cup tea "                                                                                                                              
[12] " hedwig angry inch exception though combination humor wit collection tunes covers musical styles ranging rocky horror picture show meatloaf david bowie sex pistols "                         
[13] " original songs stephen trask also appearing one members band angry inch full energy variety even though kind music found every one entertaining fun "                                        
[14] " audience saw hedwig thought "                                                                                                                                                                
[15] " main attraction onemanwoman show presence star "                                                                                                                                             
[16] "john cameron mitchell gives solid sometimes fun sometimes angry performance person searching selfenlightenment love "                                                                         
[17] " young boy growing east berlin hansel abused g "                                                                                                                                              
[18] "father raised german mother tiny flat small mother make play oven listened pop music armed forces radio "                                                                                     
[19] "later young man meets luther another g "                                                                                                                                                      
[20] " swept feet "                                                                                                                                                                                 
[21] " ensuing angry inch incident comes soon "                                                                                                                                                     
[22] "flash forward trailer park junction city kansas luther leaving hedwig another boy "                                                                                                           
[23] "frustrated broke takes babysitting odd job make ends meet "                                                                                                                                   
[24] " also forms band four korean housewives musical talent hedwig born "                                                                                                                          
[25] " meets falls loses young tommy steals songs goes become rock sensation "                                                                                                                      
[26] "jealous angry hedwig new band begins campaign shadow tommys tours help manager phyllis stein andrea martin trying get law suit going star stealing songs "                                    
[27] "hedwig angry inch get gigs coincidentally chain seafood restaurants just happen next forums tommy gnosis playing "                                                                            
[28] "things finally come head speak new york city "                                                                                                                                                
[29] " popularity offbroadway musical offshoots garnered readymade audience base hedwig "                                                                                                           
[30] " wit humor music search identity great appeal young adults charismatic presence mitchell makes cut "                                                                                          
[31] " onemanwoman show casts spotlight internationally ignored rock star mitchell outstanding role "                                                                                               
[32] " isnt lot going characters though amusing little sidebars like hedwigs backup singerlover yitzak miriam shor deciding break away band join polynesian road show rent puerto rican drag queen "
[33] " low budget moviemakers production belies quality film "                                                                                                                                      
[34] "attention details hedwigs costumes outrageous cabaret like makeup seedy trailer park setting kitschy seafood restaurants loads fun watch lend appropriate air proceeds beer budget "          
[35] " hedwig angry inch may everybody energy effort songs imaginative sets costumes fast steady pace make pleasure watch "                                                                         
[36] " youre fan contemporary edgy music even bigger draw "                                                                                                                                         
[37] " give b "                                                                                                                                                                                     
