 [1] "october sky rare oddity cinema selfproclaimed uplifting film actually uplifting "                                                                    
 [2] "based autobiographical book homer hickam rocket boys october sky tells struggle four boys reaching dream "                                           
 [3] " boys coalwood west virginia theres much hope rosy future "                                                                                          
 [4] "coalwood coal mining town except lucky ones manage escape football scholarship coalwoods boys destined work mine "                                   
 [5] " october event happens sparks one boy dream "                                                                                                        
 [6] " launch soviet satellite sputnik sets homer hickam jake gyllenhaal dream future rocketry space travel "                                              
 [7] " course homers parents chris cooper natalie canderday arent quite sure make sons unusual interests "                                                 
 [8] "homer gets strongest encouragement miss riley laura dern teacher school also informs scholarships offered winners national science fair "            
 [9] " stars eyes thoughts scholarships head homer enlists help three boys william lee scott chad lindberg chris owen begins build rocket "                
[10] " four backwoods boys even slightest hope escaping destiny "                                                                                          
[11] " lot gone wrong october sky "                                                                                                                        
[12] "nearly every sequence flirts becoming syrupy cliched "                                                                                               
[13] "however miraculously october sky avoids nearly pitfalls making exact right moves exact right times "                                                 
[14] " film emerges manages powerful moving without slipping gauzy haze nostalgia sliding sugarry slope sappiness "                                        
[15] "jake gyllenhaal outstanding kid center film "                                                                                                        
[16] " outset film immediately likable never seems corny brainy alienate audience "                                                                        
[17] "unfortunately october sky focuses homer three kids get short end stick "                                                                             
[18] " remain little placeholders reading insert friend "                                                                                                  
[19] " adults film chris cooper fully realized character "                                                                                                 
[20] " film never paints merely villainous parent standing way childs dreams instead shows multihued portrait man wants best family town stubborn realize "
[21] "director joe johnson deserves much credit successfully navigating many obstacles october sky manages dodge "                                         
[22] "however still occasions allows things proceed just step far "                                                                                        
[23] "scenes natural inspiring start become contrived artificial "                                                                                         
[24] "however lapses minimal johnson quickly steers movie back course "                                                                                    
[25] " problem many socalled uplifting films attempt force mediciney goodness throat "                                                                     
[26] "october sky never resorts level yet manages become truly uplifting film purely merits "                                                              
