 [1] " ever wondered death something simply happens naturally given moment life "                                                                                                                                                                                                                                                                                                                                                   
 [2] " occurrence predetermined much larger force within world outside "                                                                                                                                                                                                                                                                                                                                                            
 [3] " thoughtprovoking questions subject final destination riveting horrordrama since s sixth sense "                                                                                                                                                                                                                                                                                                                              
 [4] "stylishly filmed tautly directed xfiles alum james wong film deals several fairly heavy topics discussed truthfully teenage characters accurately written teenspeak rather overwrought highly intellectualized dialogue even harvard scholars wouldnt use developing darkly foreboding severely eerie thriller successfully leaves uneasy horrifyingly real opening twenty minutes lesssuccessful still suspenseful epilogue "
 [5] " start film yearold high school senior alex browning devon sawa leave student french class field trip paris "                                                                                                                                                                                                                                                                                                                 
 [6] "progressively getting case preflight jitters spots several mysterious coincidences including departure time september birthday well hearing john denver song rocky mountain high sound system airport bathroom "                                                                                                                                                                                                              
 [7] " john denver died plane crash alex grudgingly mutters "                                                                                                                                                                                                                                                                                                                                                                       
 [8] " seated alex suddenly gets horrific premonition plane exploding upon takeoff causing ruckus onboard well six students teacher thrown "                                                                                                                                                                                                                                                                                        
 [9] "arguing airport lobby alexs suspicion comes true plane really explode flight killing passengers including rest classmates "                                                                                                                                                                                                                                                                                                   
[10] " two investigators interrogate alex knew plane going explode fellow survivors saved treat varying manners "                                                                                                                                                                                                                                                                                                                   
[11] "carter kerr smith hotshot jock holds contempt believes can decide fate "                                                                                                                                                                                                                                                                                                                                                      
[12] "alexs best friend tod chad e donella wants stand cant fearful parents "                                                                                                                                                                                                                                                                                                                                                       
[13] " teacher mrs lewton kristen cloke frightened believing somehow caused disaster well state guilt giving seat plane fellow coworker "                                                                                                                                                                                                                                                                                           
[14] " outsider clear rivers ali larter unboarded plane due sudden connection alexs premonition even though never even spoken sympathetic thankful saving life "                                                                                                                                                                                                                                                                    
[15] " setup final destination less said follows better "                                                                                                                                                                                                                                                                                                                                                                           
[16] "suffice say film indeed turn slasher film albeit one thoughtful replaces knifewielding maniac neverseen granddaddy killer grim reaper "                                                                                                                                                                                                                                                                                       
[17] " setpieces horror movie death scenes final destination surely boosts inventive ones grace silver screen years "                                                                                                                                                                                                                                                                                                               
[18] "graphic brilliantly orchestrated rube goldbergesque manner manage occasionally intense dont know whether shrink seat tap feet nervousness turn away "                                                                                                                                                                                                                                                                         
[19] "devon sawa rising star put physical comedy skills good use s underseen slashercomedy idle hands even charismatic presence "                                                                                                                                                                                                                                                                                                   
[20] " conflicting emotions feels survival comes believe wasnt meant well loss passengers superbly subtly acted part "                                                                                                                                                                                                                                                                                                              
[21] "one scene watching news report crash slowly begins break especially realistic powerful "                                                                                                                                                                                                                                                                                                                                      
[22] "ali larter s varsity blues central role also effective girl whose life going well father died convenience store shooting years leaving stuck increasingly uncaring mother married loutish manthe exact opposite nowdeceased father "                                                                                                                                                                                          
[23] " roles fully written remain rather onedimensional "                                                                                                                                                                                                                                                                                                                                                                           
[24] " movie mainly sawas however rest actors equip well limited roles "                                                                                                                                                                                                                                                                                                                                                            
[25] "tony todd s candyman arcane morgue attendant pops fiveminute cameo appearance rather supererogatory "                                                                                                                                                                                                                                                                                                                         
[26] " aforementioned dialogue occasionally hits bullseye times hovers just little stilted campy "                                                                                                                                                                                                                                                                                                                                  
[27] "ultimately good final destination within confines slasher genre writerdirector wong screenwriters glen morgan jeffrey reddick created premise never seen manner film ability surprise frightentwo things rarely found todays horror films "                                                                                                                                                                                   
[28] " anything safe say will never ever look flying airplanes way "                                                                                                                                                                                                                                                                                                                                                                
