 [1] "oh god many john grisham lawyer films munundated "                                                                                                                                                                                                                                                                                                              
 [2] " perfect world civil action breath fresh air "                                                                                                                                                                                                                                                                                                                  
 [3] " cynical lawyers way grisham isnt "                                                                                                                                                                                                                                                                                                                             
 [4] " romantic exact opposite way grisham bookfilm isnt "                                                                                                                                                                                                                                                                                                            
 [5] " capper distinct ending law hollywood films else must ending "                                                                                                                                                                                                                                                                                                  
 [6] "even based true story true story hasnt yet ended must supply ending false one ending nevertheless "                                                                                                                                                                                                                                                             
 [7] "hell civil action even sly witty grisham works put together includes firm novel will ever regarded classic "                                                                                                                                                                                                                                                    
 [8] "yet also oddly slightly unsatisfying "                                                                                                                                                                                                                                                                                                                          
 [9] "weird "                                                                                                                                                                                                                                                                                                                                                         
[10] " fact steve zallian film just work hack zallian director muchadmired search bobby fischer didnt see writer none schindlers list "                                                                                                                                                                                                                               
[11] " short like guy sucker way tells stories "                                                                                                                                                                                                                                                                                                                      
[12] " apart obvious itsaholocaustfilm itsaspielbergfilm isnt schindlers list just damn brilliant film much holocaust film wonderful character study "                                                                                                                                                                                                                
[13] " civil action way narrative split lawyer film character study "                                                                                                                                                                                                                                                                                                 
[14] " film seems go bit wrong "                                                                                                                                                                                                                                                                                                                                      
[15] " main complaint film yes engrossing lawyerly tale real ending thats necessarily problem film "                                                                                                                                                                                                                                                                  
[16] " just kind unsatisfying "                                                                                                                                                                                                                                                                                                                                       
[17] " great film feel complete still end basically way "                                                                                                                                                                                                                                                                                                             
[18] " film just seems end dont want stupid suggest alternate ending tacked imagine will one film looking forward film discovered truth surrealistic unpleasant hollywood filter just many wont bitch essentially genuine "                                                                                                                                           
[19] " fact just ends actuality wrong "                                                                                                                                                                                                                                                                                                                               
[20] " rather zallian chosen last half hour adandon traditional lawyer story chose part story one lawyer one jan schlictman john travolta whos shown opening throughout movie heartless brilliant lawyer brilliant hes manipulative always wins "                                                                                                                     
[21] " wishes make jan end truth change although nicely done full "                                                                                                                                                                                                                                                                                                   
[22] " see suffering personal crisis travolta pretty good job depicting change heart end dont fully believe "                                                                                                                                                                                                                                                         
[23] " think problem made decision film choses odd angle go noble one one gives films conclusion incompleteness "                                                                                                                                                                                                                                                     
[24] " opening film see old schtick manipulating courts winning cases effortlessly discussing heard radio interview great job much cares cases "                                                                                                                                                                                                                      
[25] " short hes full bullshit know "                                                                                                                                                                                                                                                                                                                                 
[26] " film takes case hardly desired town several children died mysteriously lukemia source illness seems local factory may may dumping waste river "                                                                                                                                                                                                                
[27] "point one usual criteria jan points wickedly dead wounded children arent nearly sympathetic struck midst success "                                                                                                                                                                                                                                              
[28] "point two several lawyers "                                                                                                                                                                                                                                                                                                                                     
[29] " turning jan changes mind muddled scene stops car bridge looks feeling sense overachievement team lawyers tony shalhoub zeljko ivanek accountant william h macy head town battle towns company "                                                                                                                                                                
[30] " spend millions dollars examining land test water stephen fry possible oscar nominee brilliant performance wilde pops thanklessly meantime question parents dead children unsuccessfully workers plant "                                                                                                                                                        
[31] " also find clashing brilliant lawyer company eccentric jerome facher played robert duvall later "                                                                                                                                                                                                                                                               
[32] " progress get involved way story told engulfing everything around including individual brief stories townspeople one best bit james gandolfini employee plant living across street kathleen quinland lost child begins personal crisis "                                                                                                                        
[33] "things begin go downhill lawyers second half impossible odds judge john lithgow strickler pal facher employees plant either afraid loyal testify concrete evidence found depsite money spent find quickly running money "                                                                                                                                       
[34] " macy mortgages everything can including homes office slowly loses sanity meatiest role since oh fargo audience begin feel real loss hope protagonist "                                                                                                                                                                                                         
[35] " fact last half hour change rest film unresolved widely panned par owen gleiberman especially criticized film overlydramatic "                                                                                                                                                                                                                                  
[36] "suppose like grisham novel "                                                                                                                                                                                                                                                                                                                                    
[37] " wouldnt change jan handled way instead change heart automatically perceived good hes seen still full bullshit "                                                                                                                                                                                                                                                
[38] " doesnt take stock cares partners causes lose money noteriaty lawyer field wants help people town instead seen good nature sure bring "                                                                                                                                                                                                                         
[39] " final half tries redeem must point making zallians mind follows series scenes merely see making personal stands beliefs though changed considerably opening moments hes seen speeding back forth town wishes employ thusly receiving two speeding tickets still feel big change life hes rich esteemed anymore films final title card witty actuality shallow "
[40] " fault closure court case still going know personal story feels like needs either another chapter another angle final one "                                                                                                                                                                                                                                     
[41] " need feel like character really made big change life story story strife like one town inspire whopping change personal life "                                                                                                                                                                                                                                  
[42] " feels like half "                                                                                                                                                                                                                                                                                                                                              
[43] "maybe even less "                                                                                                                                                                                                                                                                                                                                               
[44] " travolta great job though never truly memorable performance rather zallian whose final chapter needs rewrite "                                                                                                                                                                                                                                                 
[45] " though engrossing drama one best year fact one best lawyer films period "                                                                                                                                                                                                                                                                                      
[46] " reason recognizes court trial defended prosecuted rather lawyers knights battle eachother "                                                                                                                                                                                                                                                                    
[47] " learn company almost positively blame deaths town reason cant blamed best prosecution can find "                                                                                                                                                                                                                                                               
[48] " duvalls facher brilliant character magnificent job portraying man almost easy overlook subtley great "                                                                                                                                                                                                                                                         
[49] "facher seen elderly man goofy eccentric carrying broken brown bag stickers eating lunches paper bags making point take time day listen radio scold anyone interupts "                                                                                                                                                                                           
[50] " look deeper see master work evil manipulative nature hidden eccentricities others don upon difficult hell clearly generalize way "                                                                                                                                                                                                                             
[51] "thats liked film hard put pointer "                                                                                                                                                                                                                                                                                                                             
[52] " can never see exactly film will land even credits roll still arent sure make "                                                                                                                                                                                                                                                                                 
[53] "call zallian effect "                                                                                                                                                                                                                                                                                                                                           
[54] " thing happened schindlers list im comparing oskar schindler jan schlictman "                                                                                                                                                                                                                                                                                   
[55] " film greatly crafted cant help get involved broad storytelling interesting characters peculiarly wit comes along "                                                                                                                                                                                                                                             
[56] " felt totally complete like say schindlers list though point may unfair make comparisons two might one best films year along full breath fresh air "                                                                                                                                                                                                            
