 [1] "susan grangers review perfect storm warner bros "                                                                                                                                                                             
 [2] " people die fishing boats per capita working job u s "                                                                                                                                                                        
 [3] "every journey fishing boat makes can allornothing risk "                                                                                                                                                                      
 [4] " life exhilarating terrifying says director wolfgang petersen das boot "                                                                                                                                                      
 [5] " thats just captures true story struggle humanity aboard swordfishing boat andrea gail sailing gloucester massachusetts late october "                                                                                        
 [6] "early bill wittliffs screenplay based sebastian jungers bestseller meet crew six "                                                                                                                                            
 [7] " veteran captain george clooney frustrated cant find fish grand banks yet rival skipper mary elizabeth mastrantonio brings huge hauls "                                                                                       
 [8] " righthand man mark walhberg needs money build new life girlfriend diane lane "                                                                                                                                               
 [9] "theres devoted dad john c reilly estranged wife son freespirited jamaican allen payne lonely guy john hawkes lastminute replacement bad attitude william fichtner "                                                           
[10] " skippers convinced can change bad luck streak remote flemish cap "                                                                                                                                                           
[11] " trouble begins "                                                                                                                                                                                                             
[12] "theres rogue wave man overboard ice machine breaks lb "                                                                                                                                                                       
[13] " fish spoil "                                                                                                                                                                                                                 
[14] " thats minor compared deadly monster storm approaching boston meteorologist describes disaster epic proportions also threatens lives coast guard helicopter rescue team trying save three people stranded sailboat high seas "
[15] " formulaic cliches walls water created fluid dynamics simulating reallife phenomena awesome "                                                                                                                                 
[16] " granger movie gauge perfect storm terrifying suspenseful "                                                                                                                                                                   
[17] "hang whiteknuckle thrill ride summer "                                                                                                                                                                                        
