 [1] "eight years release disney decided rerelease little mermaid theatrically days long nights "                                                                                                                     
 [2] "coincidentally reintroduced theaters day foxs animated film anastasia released "                                                                                                                                
 [3] " know disney cant deal threat studio getting even small piece crust kiddie entertainment pie someone else wants make little money counter old masterpiece vault know went see cartoon rather brand new one fox "
 [4] "let one say disney losing monopoly market "                                                                                                                                                                     
 [5] " still hotels boardwalk park place "                                                                                                                                                                            
 [6] "believe today november p m saw little mermaid first time "                                                                                                                                                      
 [7] " took years get aversion movie caused seven years ago stayed one moms friends couple weeks "                                                                                                                    
 [8] " young child listened little mermaid soundtrack constantly two week period heard every song movie probably hundred times "                                                                                      
 [9] " time got back home promised id never see movie "                                                                                                                                                               
[10] " promises made broken especially youre looking day limited engagement "                                                                                                                                         
[11] "damn shrewd disney marketers mind games "                                                                                                                                                                       
[12] " little mermaid based hans christian anderson fairy tale disneyized means lots talking animals bursting song "                                                                                                  
[13] " also means heroine total babe shows cleavage seashell bra times "                                                                                                                                              
[14] " never wanted much pair shells "                                                                                                                                                                                
[15] " heroine course ariel voice jodi benson yearold mermaid going rebellious phase "                                                                                                                                
[16] " skips concert explore wrecked ship hang seagull talks like buddy hackett tries orient mysterious world humans "                                                                                                
[17] "shes also dealing feelings hasnt comes get scales places didnt use handsome prince disney movie complete without one "                                                                                          
[18] " father king triton merpeople strictly forbids lusting ways savage humans condemnation reads notsosubtle analogy old fashioned parents forbid interracial dating "                                              
[19] "whats king though "                                                                                                                                                                                             
[20] " girls love even total destruction little shrine human world doesnt deter "                                                                                                                                     
[21] "ariel saves princes life hurricane rises just meet "                                                                                                                                                            
[22] " makes deal ursula sea witch voice pat carroll "                                                                                                                                                                
[23] " know shes evil huge potbelly one worst asses cartoon history "                                                                                                                                                 
[24] " also octopus tentacles feet something dr scholls corn pads will fix offers help ariel "                                                                                                                        
[25] "shell make human three days ariel will give pretty voice ariel three days make prince kiss else becomes slave witch forever "                                                                                   
[26] " pricks finger sewing machine eats evil apple shell fall asleep forever "                                                                                                                                       
[27] " simplistic plot yes little mermaid revolution disney world coming lackluster efforts black cauldron oliver company "                                                                                           
[28] " ranks one best disney cartoons certainly since s "                                                                                                                                                             
[29] " elements memorable songs like sea kiss girl cartoon animals like sebastian flounder evil villain still characterization charm fair amount humor caters adults well children "                                  
[30] " little mermaid worth bigscreen ticket hurry five days left "                                                                                                                                                   
[31] "serving america th century "                                                                                                                                                                                    
