 [1] " first glance three kings looks just another war movie s version favourite war movies names remember "                                                                     
 [2] " s version definitely just another war movie "                                                                                                                             
 [3] " dreams "                                                                                                                                                                  
 [4] "imagine pulp fiction approach saving private ryan \022s three kings "                                                                                                      
 [5] "believe bears cool former stark humane meaning latter "                                                                                                                    
 [6] " story brings us twilight gulf war allied troops victorious "                                                                                                              
 [7] "majpr archie gates clooney leads enterprising bunch grunts rather unorthodox postwar looting spree millions gold bars secretly stowed away saddam desolate village desert "
 [8] " rest troops celebrating victory getting ready shipped home wild bunch\022 goes awol armed humvee vehicle choice us army "                                                 
 [9] " soon find much resistance get tangled local rebellion saddam\022s forces "                                                                                                
[10] "frequently switching modes looters robin hood\022s merry men become consciously attacked morals "                                                                          
[11] " film begins roll seemed rather light\022 mood "                                                                                                                           
[12] "special\022 effects gates describes men bullet can kill simply paves way lighthearted funny action movie "                                                                 
[13] "three kings much smarter "                                                                                                                                                 
[14] " conflict becomes complex audience will trapped limbo trying stay focussed lightmoodseriousmood film seem portray "                                                        
[15] " personally found analogous feelings main characters involved film trapped initial plan paved greed sense humanity "                                                       
[16] " simply made entire experience watching three kings truly brilliant "                                                                                                      
[17] "action sequences shot oldfashioned war films anything like steven spielberg\022s inyourface war violence "                                                                 
[18] " carefully built generate tension just right tight closeups pauses right action starts "                                                                                   
[19] " john woo sure sergio leone\022s spaghetti western style tons starring clint eastwood "                                                                                    
[20] "great performances clooney wahlberg brilliance lie conception film screenwriter director "                                                                                 
[21] "three kings ranks among best films year well least "                                                                                                                       
[22] "highly recommended "                                                                                                                                                       
